X,Y,objectid,stop_id,stop_name,latitude,longitude,zone_id,location_type,parent_station,wheelchair_boarding,creationdate,creator,editdate,editor
16.4088960000019,49.1718700000071,1538,U14238Z2,"Tetčice, žel. st.",49.17187,16.408896,425,0,U14238N367,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4641129997942,49.0703020000262,1539,U14339Z2,"Dolní Kounice, Masarykovo nám.",49.070302,16.464113,437,0,U14339N733,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4566340004377,49.07033399996,1540,U14341Z1,"Dolní Kounice, Skalní",49.070334,16.456634,437,0,U14341N734,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4430669998232,49.0704960002651,1541,U14351Z1,Nové Bránice,49.070496,16.443067,437,0,U14351N735,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4393789996619,49.07341799971,1542,U14353Z1,"Nové Bránice, škola",49.073418,16.439379,437,0,U14353N736,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4393269997834,49.0782470001233,1543,U14352Z1,"Nové Bránice, rozc.",49.078247,16.439327,437,0,U14352N737,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4382420002102,49.0816179997338,1544,U14348Z1,"Moravské Bránice, škola",49.081618,16.438242,437,0,U14348N738,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4292570004328,49.0849180000673,1545,U14350Z2,"Moravské Bránice, žel. st.",49.084918,16.429257,437,0,U14350N500,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4292570004328,49.0849180000673,1546,U14350Z1,"Moravské Bránice, žel. st.",49.084918,16.429257,437,0,U14350N500,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4382449996849,49.0814369997251,1547,U14348Z2,"Moravské Bránice, škola",49.081437,16.438245,437,0,U14348N738,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4393269997834,49.0782470001233,1548,U14352Z2,"Nové Bránice, rozc.",49.078247,16.439327,437,0,U14352N737,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4393689996162,49.0733229997481,1549,U14353Z2,"Nové Bránice, škola",49.073323,16.439369,437,0,U14353N736,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4437029998578,49.070212999918,1550,U14351Z2,Nové Bránice,49.070213,16.443703,437,0,U14351N735,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4567490000655,49.0702779997681,1551,U14341Z2,"Dolní Kounice, Skalní",49.070278,16.456749,437,0,U14341N734,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4641129997942,49.0703020000262,1552,U14339Z1,"Dolní Kounice, Masarykovo nám.",49.070302,16.464113,437,0,U14339N733,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4803359998019,49.0542669997854,1553,U14355Z2,"Pravlov, kulturní dům",49.054267,16.480336,437,0,U14355N739,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.4868669998524,49.0544830000592,1554,U14354Z2,Pravlov,49.054483,16.486867,437,0,U14354N740,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5010689997784,49.0505639999004,1555,U15207Z2,Němčičky,49.050564,16.501069,520,0,U15207N741,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.517697999667,49.0597220002425,1556,U15202Z2,"Bratčice, pískovna",49.059722,16.517698,520,0,U15202N742,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5229519996254,49.0655999997554,1557,U15201Z2,Bratčice,49.0656,16.522952,520,0,U15201N743,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
16.5771230002024,49.0420619997093,1558,U15221Z2,"Hrušovany u Brna, VÚZA",49.042062,16.577123,525,0,U15221N744,2,2020/09/22 10:29:25+00,DataBrno,2020/09/22 10:29:25+00,DataBrno
