X,Y,stop_name,zone_id
16.5978340004376,49.1707409999833,Ústřední hřbitov,101.0
16.6039760003258,49.1782069997585,Strážní,100.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.603645999714598,49.1784769997141,Strážní,100.0
16.5976119997815,49.170744000038795,Ústřední hřbitov,101.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.600345999890802,49.1531040001177,Novomoravanská,101.0
16.6010039996668,49.149584999990005,Moravanské lány,101.0
16.6020969996359,49.14288699999639,Moravanská,101.0
16.6030060003803,49.142613999873,Moravanská,101.0
16.601812999953697,49.14930499992251,Moravanské lány,101.0
16.6006759996037,49.156124000235,Ořechovská,101.0
16.5973160004038,49.1716040000373,Ústřední hřbitov,101.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.629971999583198,49.1894069997567,Tržní,100.0
16.620139000058998,49.187540000283605,Zvonařka,100.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.63031399989,49.189341999732,Tržní,100.0
16.666375000271803,49.1423259999403,"Tuřany, smyčka",101.0
16.6673710001565,49.1467059997808,Hanácká,101.0
16.6537550000365,49.15362900018889,Ivanovické náměstí,101.0
16.6373870002638,49.16139700020221,Ráječek,101.0
16.62193500001,49.177093999998895,Komárov,101.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.6687849996177,49.1834539999811,Černovičky,101.0
16.6907250002645,49.1821949999708,"Slatina, sídliště",101.0
16.6163170000034,49.1855310001066,Expres Brno,100.0
16.6224480000209,49.174440000233,Komárov,101.0
16.638241999683302,49.1608019999969,Ráječek,101.0
16.6537910000215,49.1530660001596,Ivanovické náměstí,101.0
16.6659740004138,49.1461629999323,Hanácká,101.0
16.667828000091,49.141406999820994,"Tuřany, smyčka",101.0
16.6161510003221,49.18536399985,Autobusové nádraží,100.0
16.5777869998262,49.173436000262896,Stará nemocnice,101.0
16.598504999734,49.1725550001725,Ústřední hřbitov,101.0
16.6107800001878,49.1892840002611,Hlavní nádraží,100.0
16.5977249997594,49.172701000054104,Ústřední hřbitov,101.0
16.5771149998065,49.173643000032605,Stará nemocnice,101.0
16.612341999787,49.1903499998207,Hlavní nádraží,100.0
16.6360420003996,49.204281999716606,"Židenice, nádraží",100.0
16.6572320003106,49.1320310002125,"Chrlice, nádraží",101.0
16.6360420003996,49.204281999716606,"Židenice, nádraží",100.0
16.612341999787,49.1903499998207,Hlavní nádraží,100.0
16.6572320003106,49.1320310002125,"Chrlice, nádraží",101.0
16.6160669997582,49.1832470001378,Dolní nádraží,100.0
16.596651000056802,49.2310500001766,"Královo Pole, nádraží",101.0
16.596651000056802,49.2310500001766,"Královo Pole, nádraží",101.0
16.6821480000177,49.1694779998165,"Slatina, nádraží",101.0
16.6821480000177,49.1694779998165,"Slatina, nádraží",101.0
16.6312329997818,49.1889839999082,Brno - Černovice,100.0
16.606859000398,49.1674039999208,Brno - Horní Heršpice,101.0
16.5904460004195,49.250794000261,"Řečkovice, nádraží",101.0
16.6275039996127,49.2204319999815,"Lesná, nádraží",101.0
16.6275039996127,49.2204319999815,"Lesná, nádraží",101.0
16.5904460004195,49.250794000261,"Řečkovice, nádraží",101.0
16.606859000398,49.1674039999208,Brno - Horní Heršpice,101.0
16.6312329997818,49.1889839999082,Brno - Černovice,100.0
16.6880559995541,49.20909899982671,Jírova,101.0
16.6944400001899,49.2061129998822,Náměstí Karla IV.,101.0
16.694549999794802,49.201045000178006,Muzeum dopravy,101.0
16.6917730000277,49.182832000232295,"Slatina, rozcestí",101.0
16.6919820002651,49.1827380000264,"Slatina, rozcestí",101.0
16.6944550002585,49.201776999789,Muzeum dopravy,101.0
16.6946209999399,49.206362999719495,Náměstí Karla IV.,101.0
16.6921520001444,49.2071600000169,Mifkova,101.0
16.688684999916102,49.209179000080994,Jírova,101.0
16.7158929998666,49.2010709997997,Podolská,101.0
16.7164490004336,49.203330999971,Mariánské údolí,101.0
16.7158700003004,49.2033200001614,Mariánské údolí,101.0
16.7159980003469,49.2006749999263,Podolská,101.0
16.7073159996199,49.1434599999494,"Dvorska, smyčka",101.0
16.701370000448698,49.141157999868796,Vlčkova,101.0
16.6812059996614,49.1463050001762,Pratecká,101.0
16.6709489998146,49.1473159998287,Vítězná,101.0
16.6676499998158,49.1478039997485,Hanácká,101.0
16.6618109998763,49.15009699977329,Revoluční,101.0
16.6610619998638,49.14749599985289,Holásecká,101.0
16.655598999668,49.1453529999136,Rolencova,101.0
16.6506359999627,49.14352400011639,Holásky,101.0
16.6485730000481,49.147999999967205,V aleji,101.0
16.6476690002249,49.1521760001028,Prodloužená,101.0
16.646433999965502,49.1567780001886,Popelova,101.0
16.6269320000504,49.16879899971129,Hněvkovského,101.0
16.6238239998473,49.1728769999503,Sazenice,101.0
16.6217430003893,49.179419000174704,Konopná,100.0
16.621598999551,49.18229999982329,Svatopetrská,100.0
16.621425000372,49.1852249997797,Kovářská,100.0
16.6184419998424,49.18773000021629,Zvonařka,100.0
16.6130149996315,49.1890050001859,Úzká,100.0
16.6104379998811,49.190388999755704,Hlavní nádraží,100.0
16.612674000048,49.19124999992721,Hlavní nádraží,100.0
16.6143560001961,49.190948000142,Úzká,100.0
16.6197270003304,49.1866049998276,Zvonařka,100.0
16.6221400000494,49.184224999913795,Kovářská,100.0
16.621330999762403,49.180123000289896,Konopná,100.0
