city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,lat,lon,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Zábrdovice,11500,1+kk,31,1,B,2,1,False,True,True,False,49.201518,16.623509,Rent,0,1,0,0,1,1,0,0,0,1,1,1,1
Brno,Staré Brno,17000,2+1,83,1,G,2,2,True,False,False,False,49.186704,16.59701,Rent,1,0,1,1,0,1,1,0,0,0,1,1,0
Brno,Stránice,8500,2+1,55,1,B,3,2,True,False,False,False,49.198989,16.574957,Rent,1,0,0,0,0,1,0,0,1,1,1,0,2
Brno,Veveří,9700,1+1,19,1,D,3,2,True,False,False,False,49.199631,16.589125,Rent,1,0,1,1,0,1,0,1,1,1,1,0,1
Brno,Zábrdovice,11000,2+kk,39,1,A,2,1,False,False,False,False,49.198804,16.621881,Rent,0,0,0,0,1,1,1,1,1,0,1,0,2
Brno,Trnitá,10000,1+kk,22,1,A,2,7,False,True,True,False,49.192179,16.617399,Rent,1,0,0,0,0,0,1,0,1,0,1,1,2
Brno,Černá Pole,9250,1+kk,25,1,,2,1,False,False,False,False,49.214898,16.6247094,Rent,0,0,0,0,1,0,0,1,1,1,0,1,1
Brno,Žabovřesky,12000,2+1,70,1,G,2,1,False,False,False,False,49.2114,16.583048,Rent,0,0,0,1,0,0,1,0,1,0,0,0,2
Brno,Veveří,15000,2+kk,56,1,,2,7,False,False,True,False,49.2078046,16.6016642,Rent,1,1,1,0,0,0,1,1,0,0,0,1,1
Brno,Zábrdovice,12000,2+kk,66,1,C,2,0,False,True,False,False,49.199602,16.619244,Rent,1,1,1,0,0,0,0,1,0,1,1,0,1
Brno,Staré Brno,15500,2+kk,59,0,A,3,1,False,False,True,True,49.189868,16.605846,Rent,0,0,0,1,1,1,1,1,1,0,1,1,0
Brno,Pisárky,19553,1+kk,0,0,,3,3,False,False,True,False,49.1926173,16.5633806,Rent,1,0,0,0,0,0,1,0,1,1,0,1,2
Brno,Pisárky,10000,1+kk,32,1,G,2,-1,False,False,False,False,49.193558,16.579916,Rent,0,0,1,1,0,1,0,1,1,0,1,0,1
Brno,Zábrdovice,10500,1+kk,31,1,B,3,4,True,False,True,False,49.201429,16.623347,Rent,0,0,0,0,1,0,0,0,0,0,0,0,0
Brno,Štýřice,18750,2+kk,43,0,,3,2,True,False,False,False,49.1822352,16.6006902,Rent,1,1,0,1,1,1,0,1,0,0,1,0,2
Brno,Bohunice,10000,2+kk,48,2,C,3,7,True,False,True,False,49.167809,16.585943,Rent,0,1,1,0,1,1,0,0,1,0,1,1,2
Brno,Chrlice,17000,3+kk,79,1,G,3,1,True,False,False,True,49.129539,16.650737,Rent,1,1,1,1,1,1,1,0,0,1,1,1,1
Brno,Nový Lískovec,17900,3+1,72,2,A,2,1,True,False,True,False,49.1765683,16.553012,Rent,0,0,0,0,1,0,1,1,0,0,1,1,0
Brno,Ponava,14500,2+1,78,1,,2,5,True,False,True,False,49.209535,16.605645,Rent,0,1,0,1,0,1,1,0,0,1,0,0,0
