city,city_district,price,type,area,building_type,penb,equipment,floor,balcony,terace,lift,garage,demand,group,individual,family,men,women,students,working,pensioners,cellar,parking,pets,smoking,state
Brno,Staré Brno,12000,1+1,40,1,C,0,4,False,False,False,False,Rent,1,1,0,0,0,0,0,1,1,0,1,0,1
Brno,Horní Heršpice,12000,2+kk,41,1,,2,1,False,True,False,False,Rent,1,1,1,0,1,1,1,0,0,0,0,0,2
Brno,Staré Brno,16875,1+kk,35,0,,3,8,False,False,True,False,Rent,0,1,1,1,1,1,1,0,1,1,0,1,2
Brno,Komárov,11000,1+1,38,1,,1,0,False,False,False,False,Rent,0,0,0,1,0,0,1,0,0,0,0,0,2
Brno,Město Brno,15000,3+kk,101,1,C,2,3,False,False,True,False,Rent,1,1,1,0,1,0,0,1,0,1,0,1,2
Brno,Židenice,15619,2+kk,63,0,,3,4,False,False,True,True,Rent,1,0,1,0,0,1,1,0,1,1,1,0,2
Brno,Zábrdovice,12000,1+kk,35,1,,3,3,False,False,False,False,Rent,1,1,1,0,1,0,1,0,0,1,1,1,2
Brno,Staré Brno,13000,2+kk,64,1,,2,1,False,False,False,False,Rent,0,0,0,0,1,1,0,0,0,0,1,0,2
Brno,Staré Brno,11800,1+1,33,1,D,2,7,True,True,True,False,Rent,1,0,1,1,0,1,1,0,1,1,0,0,1
Brno,Žebětín,9500,1+kk,32,1,B,3,2,False,False,True,False,Rent,1,0,0,0,1,0,1,0,0,0,1,0,2
Brno,Pisárky,18675,1+kk,0,0,,3,4,False,False,True,False,Rent,1,0,0,1,1,1,1,1,1,1,0,0,2
Brno,Židenice,16500,3+kk,85,0,,3,3,False,False,False,False,Rent,0,1,0,1,1,0,1,0,1,0,1,1,2
Brno,Židenice,12000,2+kk,40,1,G,3,0,False,False,False,False,Rent,0,0,1,1,0,1,1,0,1,1,0,0,1
Brno,Bystrc,13500,2+1,60,2,G,3,8,True,False,True,False,Rent,1,1,1,0,1,0,1,0,1,0,0,1,1
Brno,Žabovřesky,12041,2+kk,40,0,,3,2,False,True,False,False,Rent,1,0,1,0,0,0,0,1,1,1,0,1,1
Brno,Černá Pole,12850,2+kk,67,1,C,2,3,True,False,False,False,Rent,1,0,0,0,0,1,0,0,0,1,1,1,0
Brno,Zábrdovice,13850,2+kk,58,1,B,2,2,False,False,False,False,Rent,0,0,0,1,1,0,0,0,1,0,1,0,1
Brno,Veveří,15000,2+kk,56,1,,2,7,False,False,True,False,Rent,1,0,1,0,1,0,0,0,1,0,1,1,2
Brno,Husovice,8000,1+kk,22,1,B,3,2,False,False,False,False,Rent,0,0,1,1,0,1,1,0,0,0,1,0,0
Brno,Zábrdovice,11500,2+1,55,1,,1,2,False,False,False,False,Rent,1,1,1,0,0,1,0,0,1,0,1,0,1
Brno,Komárov,4750,Garsoniéra,27,1,A,3,1,False,True,False,False,Rent,1,0,1,0,0,0,1,0,1,0,0,0,1
Brno,Žabovřesky,12000,2+1,61,1,,2,2,True,False,True,False,Rent,1,1,1,1,1,0,1,0,1,0,1,1,2
Brno,Město Brno,11500,2+kk,49,2,D,2,0,False,False,False,False,Rent,0,0,0,0,1,0,0,1,0,0,0,0,1
Brno,Žabovřesky,12000,2+1,70,1,G,2,1,False,False,False,False,Rent,1,0,1,0,1,1,1,0,0,1,0,0,1
Brno,Zábrdovice,16500,1+1,52,0,,3,2,False,False,True,True,Rent,0,0,0,1,0,0,1,0,0,1,1,1,2
Brno,Zábrdovice,9375,1+kk,24,0,,3,4,False,False,True,False,Rent,1,0,1,1,1,0,1,0,0,0,1,1,0
Brno,Zábrdovice,10800,1+kk,22,0,,3,5,False,False,True,False,Rent,0,1,1,1,0,1,1,1,0,0,1,0,2
Brno,Bystrc,13500,1+1,40,2,D,2,2,False,False,False,False,Rent,1,1,1,1,1,1,0,0,0,0,0,1,0
Brno,Královo Pole,19500,2+kk,58,0,,3,2,True,False,True,True,Rent,0,0,1,0,1,0,1,0,1,0,0,0,2
Brno,Staré Brno,15500,2+kk,59,0,A,3,1,False,False,True,True,Rent,1,1,0,0,1,1,1,1,1,0,0,0,1
Brno,Pisárky,18000,3+kk,92,1,A,2,1,False,True,False,False,Rent,1,0,1,0,0,0,1,1,1,1,1,1,0
Brno,Židenice,8000,1+kk,31,2,,2,2,False,False,False,False,Rent,0,1,1,1,0,1,1,0,0,0,0,1,0
Brno,Líšeň,9263,1+kk,30,0,,3,3,True,False,True,False,Rent,0,1,1,1,1,1,1,0,0,0,1,0,1
Brno,Bohunice,13000,3+1,72,2,G,2,2,True,False,True,False,Rent,1,1,0,0,1,0,0,1,1,0,0,0,0
Brno,Královo Pole,10500,2+kk,42,1,C,2,2,False,True,False,False,Rent,1,1,0,0,0,0,1,0,1,0,0,0,2
Brno,Žabovřesky,12000,2+1,60,1,C,2,1,False,False,False,False,Rent,1,0,1,0,0,1,1,1,0,0,0,0,0
Brno,Královo Pole,14000,2+kk,53,1,C,3,1,True,False,False,True,Rent,0,0,1,0,1,0,0,0,0,1,1,0,1
Brno,Veveří,12750,1+kk,32,0,,3,4,False,False,False,False,Rent,0,0,0,0,1,0,1,1,1,1,0,0,2
Brno,Bohunice,11500,2+kk,45,2,B,2,3,False,False,True,False,Rent,1,0,0,1,0,1,0,1,1,1,1,1,1
Brno,Stránice,8500,2+1,66,1,G,3,1,True,False,False,False,Rent,1,0,1,0,1,1,0,1,1,0,1,1,1
Brno,Staré Brno,14000,3+kk,75,1,G,2,1,False,True,False,False,Rent,1,0,0,1,0,1,1,1,0,1,1,0,1
Brno,Město Brno,33000,3+kk,122,1,C,3,3,False,True,False,False,Rent,1,1,1,1,1,0,0,1,0,1,1,1,0
Brno,Staré Brno,15000,2+kk,51,1,B,2,4,True,False,True,False,Rent,1,1,1,1,1,1,0,1,1,0,0,0,2
Brno,Bohunice,9200,1+kk,24,1,B,2,1,False,True,False,False,Rent,1,0,1,1,0,0,1,0,1,0,0,0,1
Brno,Trnitá,18000,3+1,107,1,,3,3,True,False,False,False,Rent,0,1,0,1,1,1,0,0,1,1,0,0,0
Brno,Židenice,9300,1+1,35,1,G,1,1,False,False,False,False,Rent,1,1,0,1,0,0,0,1,0,0,1,1,0
Brno,Černá Pole,8500,1+kk,23,1,E,3,1,False,False,False,False,Rent,1,0,1,0,1,1,1,0,0,1,1,1,1
Brno,Bystrc,13000,2+kk,61,1,G,2,4,True,False,True,False,Rent,1,0,1,0,1,0,0,0,1,0,1,1,1
Brno,Žabovřesky,14900,2+kk,53,3,B,2,3,True,False,True,False,Rent,1,1,1,0,0,0,0,1,0,1,1,0,0
Brno,Město Brno,15000,3+1,95,1,,2,4,False,False,False,False,Rent,0,1,0,1,0,0,1,0,0,0,1,0,2
Brno,Lesná,8500,1+1,26,2,G,2,2,False,False,True,False,Rent,1,1,0,1,0,0,0,1,1,1,0,0,0
Brno,Jundrov,12000,3+1,76,2,C,2,1,True,False,True,False,Rent,0,0,0,1,1,0,1,0,1,1,0,1,1
Brno,Slatina,17500,4+1,87,2,E,3,1,True,False,True,False,Rent,0,0,1,1,0,0,1,1,1,0,1,0,0
Brno,Medlánky,9000,1+kk,26,1,,2,1,False,False,False,False,Rent,0,1,1,1,1,1,1,1,1,0,1,0,0
Brno,Bystrc,10500,2+kk,42,2,D,0,7,True,False,True,False,Rent,0,0,0,0,1,1,1,1,1,0,0,0,2
Brno,Líšeň,12490,2+kk,49,1,D,2,3,False,False,False,False,Rent,1,1,0,0,0,0,0,0,1,0,0,1,0
Brno,Staré Brno,15000,3+1,93,1,G,1,3,True,False,True,False,Rent,1,0,0,1,1,1,0,1,0,0,0,0,0
Brno,Obřany,12800,2+kk,70,1,,2,1,False,False,False,False,Rent,0,0,1,1,0,1,1,0,1,0,1,1,2
Brno,Bystrc,11700,1+1,42,2,C,3,3,True,False,True,False,Rent,1,1,0,0,0,1,0,1,1,0,0,0,2
Brno,Bystrc,10500,1+1,40,2,,1,6,True,False,True,False,Rent,1,1,0,1,0,1,1,1,0,0,1,1,2
Brno,Komín,11000,1+kk,30,1,,3,1,False,False,False,False,Rent,1,0,0,1,1,1,1,1,0,0,1,0,2
Brno,Trnitá,8800,1+kk,32,1,A,0,2,False,False,True,False,Rent,1,0,1,1,1,0,1,1,1,0,0,0,1
Brno,Veveří,19691,3+kk,85,1,G,2,3,True,False,True,False,Rent,0,1,0,0,1,0,1,1,0,1,1,0,1
Brno,Černovice,14000,3+1,105,1,,1,2,False,True,False,False,Rent,0,0,0,0,0,1,0,0,1,0,1,0,2
Brno,Trnitá,10000,1+kk,22,1,A,2,7,False,True,True,False,Rent,1,1,1,0,1,0,1,1,0,1,0,1,0
Brno,Slatina,13500,2+kk,59,1,A,3,3,True,False,True,False,Rent,0,1,1,0,0,0,0,0,1,0,1,0,1
Brno,Královo Pole,12000,2+kk,44,1,,3,3,True,False,False,False,Rent,0,1,0,1,0,0,1,1,1,1,0,1,1
Brno,Černá Pole,17500,2+kk,59,1,G,3,2,False,False,True,False,Rent,0,0,0,0,0,1,1,1,0,0,0,0,0
Brno,Černá Pole,8600,1+1,50,1,C,1,1,False,False,False,False,Rent,1,0,0,0,0,0,0,1,0,0,0,0,1
Brno,Trnitá,12000,2+kk,62,1,G,2,1,True,False,False,False,Rent,0,0,1,0,1,1,1,1,1,0,0,0,1
Brno,Starý Lískovec,17000,3+1,67,2,B,1,3,True,False,False,False,Rent,1,0,0,1,1,1,1,1,1,1,0,0,2
Brno,Zábrdovice,10400,1+kk,25,1,C,0,3,False,False,True,False,Rent,1,0,0,0,1,1,1,1,0,1,1,0,0
Brno,Zábrdovice,10500,1+kk,31,1,B,3,4,True,False,True,False,Rent,0,1,0,0,0,1,1,0,0,0,0,1,0
Brno,Štýřice,9000,1+1,43,1,,2,1,False,False,False,False,Rent,1,0,1,1,1,0,1,0,1,1,1,0,2
Brno,Veveří,14000,3+1,85,1,C,2,3,True,False,True,False,Rent,1,1,0,1,1,1,0,0,1,0,0,1,1
Brno,Židenice,7000,1+kk,28,1,D,3,1,False,False,False,False,Rent,1,1,0,1,1,0,1,1,1,1,1,1,2
Brno,Žabovřesky,10900,2+kk,40,1,B,3,1,False,False,False,False,Rent,1,0,1,1,1,0,0,0,0,1,1,1,1
Brno,Řečkovice,12000,2+kk,56,3,C,2,4,False,False,False,False,Rent,1,1,0,1,1,1,1,0,1,0,0,1,1
Brno,Veveří,15000,2+1,35,1,A,3,2,False,False,True,False,Rent,0,1,1,1,0,0,1,0,0,1,1,0,1
Brno,Bystrc,13500,2+1,60,2,B,2,2,True,False,True,False,Rent,1,1,0,0,0,0,0,0,1,1,1,1,1
Brno,Zábrdovice,11000,2+kk,39,1,A,2,1,False,False,False,False,Rent,0,1,1,0,0,0,1,0,0,0,0,0,0
Brno,Maloměřice,16000,3+1,90,1,G,2,2,False,True,False,False,Rent,0,1,0,0,1,0,0,1,0,1,1,0,0
Brno,Město Brno,11000,2+1,62,0,G,2,1,False,False,True,False,Rent,0,1,1,1,1,1,1,0,1,0,0,1,1
Brno,Lesná,11500,2+1,60,2,C,2,6,True,False,True,False,Rent,1,1,1,1,0,1,0,1,1,1,1,1,2
Brno,Trnitá,8500,1+kk,24,1,,1,2,False,False,False,False,Rent,1,1,0,0,1,0,0,0,1,0,0,0,2
Brno,Žebětín,12500,2+kk,54,1,,1,1,False,False,True,False,Rent,1,1,1,1,0,0,0,0,0,0,0,1,0
Brno,Pisárky,14000,3+1,70,1,B,2,1,False,False,False,False,Rent,0,1,1,0,1,0,0,1,1,0,0,1,1
Brno,Černá Pole,11000,2+1,52,1,C,3,3,False,False,True,False,Rent,0,0,1,0,1,0,1,1,0,0,0,0,1
Brno,Černá Pole,19000,3+1,74,1,G,1,3,False,False,False,False,Rent,0,1,1,0,1,1,1,0,1,1,0,1,0
Brno,Žabovřesky,9000,Garsoniéra,30,2,,2,6,False,False,False,False,Rent,1,1,1,0,0,0,1,0,0,1,0,1,0
Brno,Starý Lískovec,12490,2+1,62,2,,1,1,True,False,False,False,Rent,0,0,1,0,0,1,0,0,1,0,1,0,1
Brno,Slatina,10500,2+kk,56,1,C,2,5,False,False,False,False,Rent,0,0,1,1,0,1,0,1,0,1,1,0,1
Brno,Zábrdovice,9800,1+kk,25,1,G,3,2,True,False,True,False,Rent,0,1,1,1,1,1,1,1,1,0,0,1,2
Brno,Staré Brno,14000,2+kk,50,1,G,1,1,True,False,True,False,Rent,0,0,0,0,1,0,1,0,0,1,1,0,1
Brno,Slatina,15000,2+kk,63,1,,3,4,True,False,True,False,Rent,0,1,1,0,0,0,1,1,1,1,1,0,2
Brno,Štýřice,18900,3+1,78,2,G,2,8,True,False,True,False,Rent,0,0,1,0,0,0,1,0,1,1,1,0,0
Brno,Staré Brno,16000,2+kk,63,1,A,3,3,True,True,True,False,Rent,1,1,0,1,1,1,1,1,1,1,0,1,2
Brno,Chrlice,10500,1+1,36,3,B,3,2,False,False,False,False,Rent,1,0,0,1,1,0,0,0,1,0,0,1,1
Brno,Černá Pole,10250,1+1,30,1,B,2,1,False,True,False,False,Rent,0,0,0,0,0,0,0,1,1,0,0,0,2
Brno,Zábrdovice,11000,1+kk,32,1,,3,5,False,False,False,False,Rent,0,0,0,0,1,1,1,1,1,1,0,1,2
Brno,Židenice,12000,2+kk,44,1,C,1,2,False,True,False,False,Rent,0,1,1,1,1,1,0,0,1,1,0,1,2
Brno,Veveří,21000,3+1,101,1,,2,2,False,False,False,False,Rent,1,0,1,0,0,1,0,1,0,1,0,0,1
Brno,Žabovřesky,11800,1+kk,20,2,G,3,1,False,False,False,False,Rent,1,1,1,0,0,1,1,1,1,0,1,0,1
Brno,Starý Lískovec,13500,3+1,67,2,C,0,5,False,False,True,False,Rent,1,0,1,0,1,0,1,0,1,1,1,0,2
Brno,Žebětín,12500,2+kk,48,1,A,2,4,True,False,False,False,Rent,1,1,0,0,1,0,0,0,0,0,1,1,1
Brno,Zábrdovice,13900,2+kk,85,1,,2,7,False,False,True,False,Rent,1,1,1,1,1,1,0,0,0,0,1,1,2
Brno,Staré Brno,14000,2+kk,54,1,G,3,4,True,False,True,False,Rent,1,0,0,1,0,1,1,0,0,1,0,1,2
Brno,Trnitá,6500,Garsoniéra,16,1,G,3,1,False,True,False,False,Rent,1,1,0,1,1,0,1,1,1,0,1,1,2
Brno,Lesná,9000,1+1,35,2,,1,8,True,False,True,False,Rent,1,1,0,1,0,1,0,1,1,1,0,1,1
Brno,Židenice,9300,1+kk,27,1,B,1,4,True,False,False,False,Rent,1,1,0,1,0,1,1,0,1,0,0,0,2
Brno,Medlánky,12900,2+kk,49,1,C,2,1,False,False,True,False,Rent,0,0,0,0,0,0,0,1,1,0,0,1,1
Brno,Černá Pole,7900,1+1,48,1,B,1,4,False,False,False,False,Rent,1,1,0,1,1,1,0,0,0,0,0,1,0
Brno,Město Brno,18000,2+1,59,1,,3,5,False,False,True,False,Rent,1,0,0,1,0,0,1,1,1,0,1,0,0
Brno,Jundrov,13900,3+1,73,2,G,2,7,False,False,True,False,Rent,1,1,0,0,0,1,1,1,1,0,0,1,1
Brno,Zábrdovice,12000,2+kk,46,1,C,2,5,True,False,True,False,Rent,0,0,0,1,1,1,0,1,1,0,1,1,1
Brno,Slatina,16400,3+kk,68,1,B,3,5,True,True,True,True,Rent,0,0,1,0,0,1,0,0,1,1,1,1,1
Brno,Staré Brno,17000,2+1,83,1,G,2,2,True,False,False,False,Rent,1,1,1,1,1,0,0,0,1,1,1,0,0
Brno,Kohoutovice,11990,1+1,38,2,G,3,5,True,False,True,False,Rent,0,1,1,0,0,0,1,1,0,0,0,0,1
Brno,Štýřice,16000,3+kk,60,1,A,2,2,False,False,True,False,Rent,0,0,0,0,0,1,0,0,1,1,1,0,1
Brno,Žebětín,12000,2+kk,41,1,C,2,3,True,False,True,False,Rent,1,1,0,0,1,0,0,1,1,0,1,0,0
Brno,Slatina,11500,1+kk,46,1,B,2,1,True,False,True,False,Rent,1,0,1,1,0,1,0,0,0,1,1,0,2
Brno,Zábrdovice,14000,2+kk,33,1,G,0,5,False,False,True,False,Rent,1,1,0,1,0,1,0,0,0,1,1,0,0
Brno,Královo Pole,10400,1+1,45,1,,3,2,False,False,False,False,Rent,0,0,1,1,1,0,0,1,0,0,0,1,0
Brno,Židenice,17900,3+1,100,1,B,2,2,False,False,False,False,Rent,1,1,0,0,0,1,0,1,1,0,0,1,2
Brno,Stránice,8500,2+1,55,1,B,3,2,True,False,False,False,Rent,0,0,0,0,0,1,1,0,1,0,1,0,0
Brno,Štýřice,11000,1+kk,30,1,,2,2,False,False,True,False,Rent,1,0,1,0,1,1,1,1,1,1,0,1,2
Brno,Zábrdovice,8300,1+kk,35,1,F,3,4,False,False,False,False,Rent,1,0,1,1,1,1,0,1,1,0,1,1,1
Brno,Trnitá,10000,1+kk,24,3,A,2,2,False,False,False,False,Rent,1,0,0,0,0,1,0,1,0,0,1,1,0
Brno,Medlánky,14500,2+kk,54,1,,3,1,True,False,False,False,Rent,0,0,1,1,1,0,0,0,1,0,0,0,1
Brno,Zábrdovice,15000,2+kk,67,0,,3,5,False,False,False,False,Rent,0,0,1,0,1,0,0,0,0,1,1,1,0
Brno,Nový Lískovec,6800,1+kk,32,0,B,3,2,False,False,False,False,Rent,1,0,0,1,1,0,1,1,1,1,1,0,1
Brno,Zábrdovice,9000,1+1,36,1,C,2,2,False,False,False,False,Rent,0,0,1,1,0,0,1,0,1,1,0,1,0
Brno,Zábrdovice,15000,3+kk,110,1,C,1,5,False,False,True,False,Rent,0,1,0,1,1,0,1,1,1,0,0,1,1
Brno,Veveří,13500,2+1,70,1,G,2,0,False,False,True,False,Rent,0,0,0,0,0,0,1,1,0,1,1,0,1
Brno,Židenice,9300,1+1,34,1,G,2,4,False,False,False,False,Rent,1,0,0,1,0,0,0,0,0,1,1,0,0
Brno,Zábrdovice,17500,2+kk,69,1,B,0,5,False,True,True,True,Rent,1,1,1,0,1,1,1,0,0,0,1,0,2
Brno,Židenice,16000,2+kk,66,1,B,2,2,True,False,True,True,Rent,1,0,0,1,1,0,1,1,0,0,1,1,2
Brno,Zábrdovice,9200,1+kk,28,1,D,3,2,False,False,True,False,Rent,1,0,1,0,1,0,1,1,1,0,1,1,0
Brno,Stránice,14000,2+1,53,1,C,2,2,False,False,False,False,Rent,0,0,1,0,1,0,1,0,0,0,0,0,2
Brno,Jundrov,11000,2+1,56,2,A,3,7,True,False,True,True,Rent,0,1,0,0,1,0,0,0,0,0,0,0,1
Brno,Líšeň,9500,1+kk,32,2,G,2,3,False,False,False,False,Rent,0,1,0,1,0,1,0,0,1,0,1,0,1
Brno,Město Brno,28000,3+kk,120,0,,3,5,False,False,False,False,Rent,1,0,0,0,0,0,0,1,1,0,0,1,2
Brno,Veveří,13000,3+kk,80,1,G,3,2,False,False,True,False,Rent,1,1,0,1,0,0,1,0,0,0,1,1,1
Brno,Husovice,8000,1+kk,28,1,C,2,0,False,False,False,False,Rent,1,0,1,0,1,0,0,1,1,1,0,0,0
Brno,Zábrdovice,12000,1+1,52,1,G,3,2,False,False,True,True,Rent,0,1,0,1,0,1,0,1,0,0,1,1,0
Brno,Židenice,14000,3+1,72,1,E,2,1,True,False,True,False,Rent,1,0,0,0,0,0,0,0,1,1,0,1,2
Brno,Medlánky,14300,3+1,89,1,G,3,2,True,False,False,False,Rent,1,0,1,1,1,0,1,0,1,1,1,0,2
Brno,Žabovřesky,13000,2+kk,40,1,B,3,2,True,False,False,False,Rent,1,1,1,0,0,0,0,1,1,0,0,0,2
Brno,Řečkovice,8500,2+kk,35,2,G,1,7,False,False,True,False,Rent,1,0,1,1,1,0,0,1,1,1,0,1,2
Brno,Komín,12000,1+kk,45,3,A,3,1,False,True,False,False,Rent,0,0,0,1,0,0,1,1,1,0,1,0,1
Brno,Štýřice,13750,2+kk,54,1,B,3,5,False,True,True,True,Rent,0,0,0,0,1,1,0,1,1,0,0,1,2
Brno,Veveří,8890,Garsoniéra,26,0,D,3,3,False,False,True,False,Rent,1,0,0,0,0,0,0,0,0,0,0,0,1
Brno,Královo Pole,10500,1+kk,39,1,C,2,3,True,False,True,False,Rent,1,0,1,1,0,1,1,0,1,1,1,0,1
Brno,Pisárky,10000,1+kk,32,1,G,2,-1,False,False,False,False,Rent,1,0,0,1,1,1,0,0,1,1,0,0,1
Brno,Zábrdovice,7000,Garsoniéra,12,1,,3,4,True,False,False,False,Rent,0,0,1,1,0,1,1,1,1,1,0,0,2
Brno,Kohoutovice,12900,2+1,56,2,,3,4,True,False,False,False,Rent,0,1,1,1,0,1,1,1,1,1,0,1,2
Brno,Zábrdovice,8500,1+kk,33,1,G,3,4,False,False,True,False,Rent,0,1,0,1,0,0,1,1,0,0,1,0,0
Brno,Město Brno,13500,1+1,40,1,G,3,1,False,False,False,False,Rent,1,0,1,0,1,0,1,0,0,0,1,1,0
Brno,Ponava,29800,4+kk,140,1,A,3,2,True,False,False,False,Rent,1,1,0,1,1,1,0,1,0,0,0,0,2
Brno,Štýřice,9700,1+1,38,1,C,1,1,False,False,False,False,Rent,0,0,1,1,1,1,0,0,0,0,1,1,1
Brno,Židenice,11000,1+kk,33,0,G,2,1,False,False,False,False,Rent,0,1,1,0,1,0,0,1,1,0,1,0,1
Brno,Černovice,10000,1+1,35,1,F,3,0,False,False,False,False,Rent,0,1,0,1,1,0,0,1,1,0,1,0,0
