id,date,city,city_district,price,type,area,ownership,building_type,penb,equipment,floor,balcony,terace,lift,garage
638936,2020-11-19 15:17:32.390976 UTC,Praha,Chodov,13500,3+1,81,1,2,G,2,3,FALSE,FALSE,TRUE,FALSE
532189,2020-11-19 16:02:54.014121 UTC,Praha,Nusle,13500,2+kk,47,1,1,,1,1,FALSE,FALSE,FALSE,FALSE
634878,2020-11-19 15:37:30.901508 UTC,Praha,Bubeneč,35000,3+1,148,1,1,D,1,2,FALSE,TRUE,FALSE,FALSE
625100,2020-11-19 15:48:40.807541 UTC,Praha,Vršovice,14000,2+1,50,1,0,D,2,1,FALSE,FALSE,TRUE,FALSE
418805,2020-11-19 15:41:16.306019 UTC,Praha,Žižkov,16000,2+kk,42,1,1,A,3,4,FALSE,FALSE,TRUE,FALSE
169871,2020-11-19 15:32:04.770194 UTC,Praha,Vinohrady,12000,3+kk,61,1,1,,2,-1,FALSE,FALSE,FALSE,FALSE
630731,2020-11-19 15:44:18.515602 UTC,České Budějovice,České Budějovice 2,15000,2+kk,78,1,1,B,3,3,FALSE,TRUE,TRUE,TRUE
630402,2020-11-19 15:11:35.058505 UTC,Praha,Karlín,15000,2+kk,60,1,1,C,0,2,FALSE,FALSE,FALSE,FALSE
631549,2020-11-19 15:25:13.788866 UTC,Praha,Michle,21250,2+kk,68,1,1,C,3,3,TRUE,FALSE,FALSE,FALSE
312103,2020-11-19 14:58:17.514365 UTC,Praha,Žižkov,15000,2+kk,49,1,1,C,2,4,FALSE,FALSE,FALSE,FALSE
610601,2020-11-19 16:11:21.949703 UTC,Praha,Krč,7990,1+1,24,1,1,G,2,2,FALSE,FALSE,FALSE,FALSE
617754,2020-11-19 15:08:46.212065 UTC,Praha,Žižkov,8000,Garsoniéra,20,1,1,C,0,5,FALSE,FALSE,FALSE,FALSE
628490,2020-11-19 15:57:32.158426 UTC,Praha,Karlín,12000,1+kk,35,1,1,D,0,4,FALSE,FALSE,TRUE,FALSE
634719,2020-11-19 15:43:30.089346 UTC,Brno,Veveří,13500,2+1,70,1,1,G,2,0,FALSE,FALSE,TRUE,FALSE
634286,2020-11-19 15:41:11.696354 UTC,Praha,Holešovice,18000,3+kk,78,1,1,B,2,4,TRUE,FALSE,TRUE,FALSE
186475,2020-11-19 15:11:00.840242 UTC,Praha,Žižkov,9900,Garsoniéra,22,1,1,C,2,5,TRUE,FALSE,FALSE,FALSE
12486,2020-11-19 15:24:27.692639 UTC,Praha,Vinohrady,16000,2+kk,58,1,1,,2,4,FALSE,FALSE,FALSE,FALSE
639233,2020-11-19 14:59:19.994867 UTC,Praha,Stodůlky,9900,2+kk,47,1,2,G,2,6,TRUE,FALSE,TRUE,FALSE
517571,2020-11-19 15:46:07.26509 UTC,Pozořice,,8500,1+1,30,1,1,A,3,1,FALSE,FALSE,FALSE,TRUE
631754,2020-11-19 16:08:24.345407 UTC,Praha,Hostivař,10500,1+kk,30,1,1,F,0,2,FALSE,FALSE,TRUE,FALSE
634768,2020-11-19 15:40:58.894511 UTC,Praha,Vršovice,15000,1+kk,48,2,1,G,3,5,FALSE,FALSE,TRUE,FALSE
442600,2020-11-19 16:02:13.075818 UTC,Praha,Veleslavín,12000,1+1,46,1,1,,2,1,FALSE,FALSE,FALSE,FALSE
399261,2020-11-19 15:21:15.435855 UTC,Praha,Hloubětín,9999,Garsoniéra,21,1,1,C,3,0,FALSE,FALSE,FALSE,FALSE
546696,2020-11-19 15:59:10.176036 UTC,Praha,Smíchov,18900,2+kk,50,1,1,B,3,4,FALSE,TRUE,TRUE,FALSE
634683,2020-11-19 15:11:13.324279 UTC,Milovice,Milovice nad Labem,8000,1+kk,35,1,1,G,2,1,FALSE,TRUE,FALSE,FALSE
587524,2020-11-19 15:47:24.172785 UTC,Praha,Vyšehrad,18900,2+kk,67,2,1,E,2,2,FALSE,TRUE,FALSE,TRUE
633389,2020-11-19 15:19:02.698502 UTC,Praha,Střešovice,7900,1+kk,22,1,1,B,3,1,FALSE,TRUE,FALSE,FALSE
112206,2020-11-19 15:07:07.734968 UTC,Kladno,Kročehlavy,11800,2+kk,55,1,1,,3,2,FALSE,FALSE,FALSE,FALSE
623443,2020-11-19 15:07:05.478903 UTC,Zlín,,10000,1+kk,29,1,1,C,0,1,TRUE,FALSE,FALSE,FALSE
632831,2020-11-19 15:15:37.150756 UTC,Praha,Nové Město,31000,3+1,94,1,1,G,3,5,FALSE,TRUE,FALSE,FALSE
563574,2020-11-19 15:39:40.290742 UTC,Praha,Karlín,10975,Garsoniéra,23,2,1,,2,2,FALSE,FALSE,FALSE,FALSE
634559,2020-11-19 15:18:10.667816 UTC,Křižany,,11900,2+kk,65,1,1,C,3,3,FALSE,FALSE,FALSE,FALSE
634679,2020-11-19 15:11:45.010122 UTC,Praha,Žižkov,21000,4+1,125,1,1,C,2,2,TRUE,FALSE,FALSE,FALSE
600562,2020-11-19 15:32:28.05062 UTC,Praha,Nové Město,12999,2+kk,50,0,3,A,3,6,TRUE,FALSE,TRUE,FALSE
634853,2020-11-19 15:05:14.433946 UTC,Praha,Záběhlice,22990,2+kk,60,1,1,F,3,1,TRUE,FALSE,FALSE,FALSE
639200,2020-11-19 15:02:31.453548 UTC,Praha,Braník,9500,1+1,40,1,2,G,2,11,FALSE,FALSE,TRUE,FALSE
634489,2020-11-19 15:22:09.539332 UTC,Praha,Vokovice,22000,4+1,89,1,1,G,2,1,TRUE,FALSE,TRUE,FALSE
633381,2020-11-19 15:20:29.929837 UTC,Praha,Stodůlky,16000,3+1,75,1,2,G,2,7,FALSE,FALSE,TRUE,FALSE
634138,2020-11-19 16:06:07.737055 UTC,Praha,Bohnice,10000,1+kk,43,1,2,G,2,12,FALSE,FALSE,TRUE,FALSE
634023,2020-11-19 15:43:04.857791 UTC,Praha,Žižkov,15000,3+kk,57,1,1,G,1,2,FALSE,FALSE,TRUE,FALSE
635108,2020-11-19 15:16:55.356298 UTC,Brno,Židenice,9300,1+1,34,1,1,G,2,4,FALSE,FALSE,FALSE,FALSE
633826,2020-11-19 15:45:59.39322 UTC,Praha,Michle,12990,3+1,63,2,2,C,3,3,TRUE,FALSE,FALSE,FALSE
609643,2020-11-19 15:13:15.789008 UTC,Mladá Boleslav,,11900,1+1,45,1,2,G,3,5,TRUE,FALSE,TRUE,FALSE
639212,2020-11-19 15:01:19.549078 UTC,Praha,Strašnice,13700,2+1,64,2,2,D,3,3,FALSE,FALSE,TRUE,FALSE
610558,2020-11-19 16:07:37.025908 UTC,Praha,Nové Město,16000,1+1,33,1,1,B,3,1,FALSE,FALSE,FALSE,FALSE
633501,2020-11-19 15:27:18.45736 UTC,Praha,Chodov,19000,3+kk,67,1,2,A,3,9,TRUE,FALSE,TRUE,FALSE
634952,2020-11-19 14:59:46.677313 UTC,Praha,Strašnice,13500,2+kk,40,1,1,D,3,1,FALSE,TRUE,FALSE,FALSE
633165,2020-11-19 16:10:50.616434 UTC,Praha,Hlubočepy,15500,2+kk,56,1,0,C,2,4,TRUE,FALSE,TRUE,TRUE
479541,2020-11-19 15:03:25.493645 UTC,Praha,Vršovice,9000,1+kk,27,1,1,G,3,3,FALSE,FALSE,FALSE,FALSE
577354,2020-11-19 16:00:36.371564 UTC,Praha,Michle,22000,2+kk,70,1,1,B,3,6,FALSE,FALSE,TRUE,FALSE
638346,2020-11-19 15:20:25.449891 UTC,Praha,Záběhlice,15500,2+kk,55,1,0,B,2,3,FALSE,FALSE,TRUE,TRUE
634599,2020-11-19 15:15:32.118737 UTC,Praha,Holešovice,11500,1+1,35,1,1,G,3,2,FALSE,FALSE,FALSE,FALSE
