X,Y,název,počet_zaměstnanců,odvětví,address,latitude,longitude
16.597921529584,49.2061250331972,"a1 Nábytek, s.r.o.", 20 - 24, Zpracovatelský průmysl,Kotlářská 260/15,49.20612503,16.59792153
16.6106142457465,49.2004159929964,"A2B Eco Energy, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,třída Kpt. Jaroše 1922/3,49.20041599,16.61061425
16.5927597030619,49.181765000766895,"AAA, s.r.o.", 6 - 9, Administrativní a podpůrné činnosti,Jílová 108/2,49.181765000000006,16.5927597
16.6064476016423,49.1969146198726,"AAJ, s.r.o.", 10 - 19," Ubytování, stravování a pohostinství",Solniční 636/3a,49.19691462,16.6064476
16.623614996915,49.198984950268496,"AB - Welding, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Cejl 82/58,49.19898495,16.623615
16.5756530761233,49.2117543191414,"AB Klimatizace, s.r.o.", 6 - 9, Zpracovatelský průmysl,Bráfova 3070/9a,49.21175432,16.57565308
16.6045824610589,49.1516981079906,"AB Komponenty, s.r.o.", 100 - 199, Zpracovatelský průmysl,Vídeňská 101/119,49.15169811,16.60458246
16.586708555188302,49.235915825050895,"AB PORTAFER, s.r.o.", 6 - 9, Zpracovatelský průmysl,Palackého třída 320/161,49.23591583,16.58670856
16.6021869973526,49.156098733102105,"AB Support, s.r.o.", 25 - 49, Zpracovatelský průmysl,Vídeňská 100/117,49.15609873,16.602187
16.6575944777143,49.18371366822411,"AB- NET, s.r.o.", 10 - 19, Informační a komunikační činnosti,Olomoucká 1158/164a,49.18371367,16.65759448
16.600760062151302,49.1476366571387,"AB- tex Pletárna, s.r.o.", 6 - 9, Zpracovatelský průmysl,Vídeňská 260/150,49.14763666,16.60076006
16.5992959950878,49.2093974949479,"Abatec CZ, s.r.o.", 6 - 9, Stavebnictví,Hrnčířská 896/31,49.209397499999994,16.599296
16.575296929147402,49.2289420821352,"ABBAS, a.s.", 25 - 49, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Edisonova 3023/5,49.22894208,16.57529693
16.645536440164598,49.15011334184871,"ABC - American Bohemian Corporation,", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Ledárenská 408/57,49.15011334,16.64553644
16.6789671581231,49.1684966579117,"Abcentrum Brno, s.r.o.", 20 - 24, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Tuřanka 1222/115,49.16849666,16.67896716
16.5571525396465,49.1676661787642,"Abclinic, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Jemelkova 703/42,49.16766618,16.55715254
16.550008979302,49.17918190815929,"Abex United, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Plachty 514/8,49.17918191,16.55000898
16.6073798373115,49.192275572052296,"Abirail CZ, s.r.o.", 10 - 19, Informační a komunikační činnosti,Peroutková 290/5,49.19227557,16.60737984
16.5905389167626,49.2343721298028,"Abrico Group, s.r.o.", 10 - 19," Zemědělství, lesnictví, rybářství",Božetěchova 3003/133,49.23437213,16.59053892
16.675823357361,49.211298468757896,"AC Euro, a.s.", 25 - 49, Stavebnictví,Houbalova 2553/4,49.21129847,16.67582336
16.6140187241294,49.194550839818795,"AC Jobs, s.r.o.", 25 - 49, Administrativní a podpůrné činnosti,Orlí 708/36,49.19455084,16.61401872
16.622173896179998,49.1739847508144,"AC Marketing, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Mariánské náměstí 617/1,49.17398475,16.6221739
16.6117504133583,49.2032522609776,"ACARE, s.r.o.", 10 - 19, Zpracovatelský průmysl,Hilleho 1842/5,49.20325226,16.61175041
16.6185723597631,49.2223583067359,"AccArt, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Křižíkova 2697/70,49.22235831,16.61857236
16.6850390076724,49.1682889958197,"ACE Design, s.r.o.", 6 - 9, Zpracovatelský průmysl,Drážní 253/7,49.168289,16.68503901
16.5869222940388,49.197144913277796,"ACE, s.r.o.", 6 - 9, Informační a komunikační činnosti,Roubalova 472/22,49.19714491,16.58692229
16.6407441697706,49.1976229749761,"Acer Woodway, s.r.o.", 10 - 19, Zpracovatelský průmysl,Karáskovo náměstí 2146/21,49.19762298,16.64074417
16.6077959153916,49.201781237028705,"Acmark, s.r.o.", 10 - 19, Informační a komunikační činnosti,Lidická 2030/20,49.20178124,16.60779592
16.674993883570302,49.1836362608251,"Act -in CZ, s.r.o.", 10 - 19, Informační a komunikační činnosti,Hviezdoslavova 1188/5,49.18363626,16.67499388
16.6164521578262,49.190857898929,"ActaNet, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Mlýnská 529/15,49.1908579,16.61645216
16.5806523794441,49.24831747988271,"Activenergy, s.r.o.", 10 - 19, Stavebnictví,Vážného 102/16,49.24831748,16.58065238
16.6139999484417,49.2005751650834,"Activent 365, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Příkop 27/2a,49.20057517,16.61399995
16.6145966561658,49.2002034279786,"Activity Promotion, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Příkop 147/13,49.20020343,16.61459666
16.61358387126,49.1730387267156,"AD Aqua Europe, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Železná 750/8a,49.17303873,16.61358387
16.5673129993462,49.212900166709794,"AD Economy, s.r.o.", 10 - 19," Profesní, vědecké a technické činnosti",Sochorova 3178/23,49.21290017,16.567313000000002
16.606043007624802,49.199889189752795,"Adacta Software, s.r.o.", 25 - 49, Informační a komunikační činnosti,Moravské náměstí 754/13,49.19988919,16.60604301
16.6091162322467,49.1971962521117,"Adagma, s.r.o.", 6 - 9, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Běhounská 2/22,49.19719625,16.60911623
16.5777502290867,49.2017450687514,"Adam & Eva - Body FASHION, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Sedlákova 811/32a,49.20174507,16.57775023
16.6921018507954,49.1994224441304,"ADAPTA, s.r.o.", 6 - 9, Stavebnictví,Holzova 2887/10b,49.19942244,16.69210185
16.6302520385933,49.2855744529983,"ADATE, s.r.o.", 10 - 19, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Midlochova 134/10,49.28557445,16.63025204
16.5852266350068,49.2287555432729,"Adbros, s.r.o.", 25 - 49," Profesní, vědecké a technické činnosti",Srbská 2741/53,49.22875554,16.58522664
16.5954941307693,49.1642602760406,"ADC služby, s.r.o.", 6 - 9," Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Bohunická 576/52,49.16426028,16.59549413
16.5626646471456,49.1818060297639,"Addent, s.r.o.", 6 - 9, Zdravotní a sociální péče,Rybnická 261/51,49.18180603,16.56266465
16.6767545869171,49.1703020778045,"Ademco CZ, s.r.o.", 1000 - 1499," Profesní, vědecké a technické činnosti",Tuřanka 1236/96,49.17030208,16.67675459
16.5822648050735,49.1877267551855,"ADI Interiér, s.r.o.", 20 - 24, Zpracovatelský průmysl,Výstaviště 405/1,49.18772676,16.58226481
16.643490082438902,49.2060969949759,"Aditis Group, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Rokytova 2667/20,49.206097,16.64349008
16.643490082438902,49.2060969949759,"Aditis, s.r.o.", 25 - 49," Profesní, vědecké a technické činnosti",Rokytova 2667/20,49.206097,16.64349008
16.5374540611107,49.1745605870849,"Adler Česko, s.r.o.", 25 - 49, Velkoobchod a maloobchod; opravy a údržba motorových vozidel,Pražská 675/10,49.17456059,16.53745406
16.5747090231164,49.224005014711295,"ADM, a.s.", 10 - 19, Zpracovatelský průmysl,U Vodárny 2965/2,49.22400502,16.57470902
16.6137866291044,49.199725911287295,"Admin KaH, s.r.o.", 6 - 9," Profesní, vědecké a technické činnosti",Příkop 838/6,49.19972591,16.61378663
16.6077959153916,49.201781237028705,"Admio, s.r.o.", 20 - 24," Profesní, vědecké a technické činnosti",Lidická 2030/20,49.20178124,16.60779592
