nazev,adresa,katastralni_uzemi,puvodni_ucel,kontaminace,skladky,dostupnost_mhd,osvetleni,soudni_spor,restituce,exekuce,shape_length,shape_area
Areál při ulici Terezy Novákové,Terezy Novákové 32,Řečkovice,Jiné - nespecifikované,Ne,Ne,Ne,Ano,,,Ne,0.00428529794572955,8.29383463385152e-07
Území u hlavního železničního nádraží,Benešova,Město Brno,Drážní plochy,Ne,Ne,Ne,Ano,,,Ne,0.00410959653350984,1.1442824912818001e-06
Areál bývalé káznice,Bratislavská 68,Zábrdovice,Jiné - administrativa,Ne,Ne,Ne,Ano,,,Ne,0.00400724680110942,9.85160168547902e-07
Bývalý Společenský klub v Zábrdovicích,Spolková,Zábrdovice,Jiné - kultura,Ne,Ne,Ne,Ano,,,Ne,0.00476680756925473,8.297878520962579e-07
Bývalý bytový blok Plotní,"Plotní, Železniční",Trnitá,Obytné plochy,Ne,Ne,Ne,Ano,,,Ne,0.00434446323035528,1.01950821586215e-06
Bývalá IMPORTFLORA s.r.o.,"Košťálova, Trnitá, Rosická",Trnitá,Zemědělská výroba,Ano,Ne,Ano,Ano,,,Ne,0.0086286406556524,3.07048390936597e-06
Nevyužívané parkoviště u Zvonařky,"Opuštěná, Košťálová",Trnitá,Jiné - nespecifikované,Ano,Ne,Ano,Ano,,,Ne,0.00784234639282544,2.67889642088853e-06
Areál bývalého FSIK METAL,"ul. Dornych, Plotní",Trnitá,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0071104693553054,2.04158305980816e-06
Areál bývalého autoparku při ul. Lerchova,Lerchova 62,Stránice,Vojenský prostor,Ne,Ne,Ano,Ano,,,Ne,0.00362114397209225,6.9118570422447e-07
Bývalá Vlněna,"ul. Dornych, Přízová, Mlýnská",Trnitá,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0109016160115008,5.7622774601186895e-06
Území u Zvonařky,"Dornych, Plotní",Trnitá,Jiné - služby,Ne,Ne,Ne,Ano,,,Ne,0.00358918427597073,6.82515695915077e-07
Areál bývalých Technických služeb Brno,Vlhká,Trnitá,Jiné - nespecifikované,Ne,Ne,Ne,Ano,,,Ne,0.00519665630753967,8.661522992670971e-07
"Skládka Českých drah, u ul. Bidláky",Bidláky,Horní Heršpice,Jiné - nespecifikované,Ne,Ano,Ne,Ne,,,Ne,0.0169725140546029,1.16182927624198e-05
Bývalé zahrádky vymezené kolejištěm,Bidláky,Štýřice,Jiné - nespecifikované,Ne,Ne,Ne,Ne,,,Ne,0.007587461575220159,2.98812135788003e-06
Areál při ulici Hybešova,Hybešova 46,Staré Brno,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ano,0.00655194452141115,1.28750520327392e-06
Slévárna UXA,Plotní 45,Komárov,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0105547755416286,2.64159083342971e-06
Bývalý hotel Metropol,ul. Dornych,Trnitá,Jiné - služby,Ne,Ne,Ne,Ano,,,Ne,0.00423174566168054,6.64897954144977e-07
Bývalý areál firmy KRAS,Veletržní 1,Staré Brno,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ano,0.0119150524560939,3.62033772482638e-06
Areál VUT v ul. Údolní,Údolní 53,Stránice,Školské plochy,Ne,Ne,Ano,Ano,,,Ne,0.009270388800752271,3.00902141161306e-06
Fotbalový stadion Lužánky,Sportovní,Ponava,Jiné - sport,Ne,Ne,Ne,Ne,,,Ne,0.0115545074314673,6.25053724318354e-06
Staňkova - stavebniny,"Staňkova, Střední",Ponava,Vojenský prostor,Ne,Ne,Ne,Ano,,,Ne,0.006501546007069921,1.8767329312783902e-06
Bývalé zemědělské družstvo a zahradnictví,Veslařská,Žabovřesky,Zemědělská výroba,Ne,Ne,Ano,Ano,,,Ne,0.0183583750943137,1.69230386284191e-05
Bývalý vojenský areál - Veveří,Veveří 40,Veveří,Vojenský prostor,Ne,Ne,Ano,Ano,,,Ne,0.007109379842631459,2.54069691760437e-06
Bývalá jídelna vojenské akademie,"Žižkova, Kraví hora",Veveří,Jiné - služby,Ne,Ne,Ne,Ano,,,Ne,0.0031058784295180603,5.81753292644441e-07
Areál stavebnin,Obřanská 47a,Maloměřice,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ano,0.0115599250126921,5.10634798840464e-06
Areál bývalé železniční polikliniky,Jarní 50,Maloměřice,Jiné - služby,Ne,Ne,Ano,Ano,,,Ne,0.00490554840110874,9.418106053234791e-07
Areál firmy VESP,ul. Hády,Maloměřice,Lehký průmysl,Ne,Ano,Ano,Ano,,,Ano,0.00598932400818694,1.4690817158633998e-06
Nevhodně využívaný areál při ul. Cacovice,Cacovice 2,Maloměřice,Průmyslová výroba,Ne,Ne,Ne,Ano,,,Ne,0.00563104020490704,1.1603789754743402e-06
Areál při křižovatce ul. Pražská -Chironova,Pražská 44,Bosonohy,Jiné - sport,Ne,Ne,Ano,Ne,,,Ne,0.0138024109734039,2.7652963471458803e-06
Bývalé zemědělské družstvo Bosonohy,Křivánky,Bosonohy,Zemědělská výroba,Ne,Ne,Ne,Ano,,,Ne,0.00562592256026202,1.6241845214683399e-06
"Nedostavěný objekt při ulicích Trnkova, Zaoralova","Trnkova, Zaoralova",Líšeň,Lehký průmysl,Ne,Ne,Ano,Ano,,,Ne,0.00438905914263696,6.55109450633893e-07
Bývalá Zbrojovka,Lazaretní 7,Zábrdovice,Průmyslová výroba,Ano,Ne,Ano,Ano,,,Ne,0.0228539172744172,2.80072911663105e-05
"Uvolňovaná západní část areálu Zetor, a.s.",Trnkova 111,"Líšeň, Židenice",Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ano,0.0293782687164466,3.21526460255821e-05
"Bývalý areál VUT, u ZOO",Rekreační 1,Kníničky,Školské plochy,Ne,Ne,Ne,Ano,,Ne,Ne,0.0074776907622633405,3.05890288540255e-06
Nevyužívané objekty v areálu Lachema,Karásek,Řečkovice,"Chemický a petrochemický průmysl, energetika",Ne,Ne,Ne,Ano,,,Ne,0.00480775028282493,1.3255739833960699e-06
Bývalá Jaselská kasárna,"Štefánikova, Staňkova",Ponava,Vojenský prostor,Ne,Ne,Ano,Ano,,,Ne,0.0100284769177401,3.37293057349302e-06
Bývalý prodej stavebnin Stavomax s.r.o.,"Mojmírovo nám., Košinova",Královo Pole,Jiné - nespecifikované,Ne,Ne,Ano,Ano,,,Ne,0.00412030790604533,6.54124644467245e-07
Bývalý Dřevopodnik s.p.,"Rumiště 3, 5, 9, Mlýnská 12, 23, Křenová 23",Trnitá,Lehký průmysl,Ne,Ne,Ano,Ano,Ano,,Ne,0.0073349279144789,1.7974096135471e-06
Areál bývalého JZD Komín,Komínská 1096,Komín,Zemědělská výroba,Ne,Ne,Ne,Ne,,,Ne,0.0125220782130553,8.63298143591771e-06
"Bývalá Mosilana, Křenová",Křenová 19,Trnitá,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0108943481402004,3.8551131095479e-06
Bývalé zemědělské družstvo Žebětín,Hostislavova,Žebětín,Zemědělská výroba,Ne,Ne,Ne,Ne,,,Ne,0.0101232845250103,3.8059904472057505e-06
Lokalita Masná - Křenová,"ul. Hladíkova, Masná",Trnitá,Jiné - služby,Ne,Ne,Ne,Ano,,,Ne,0.00698702557990216,1.61648353368762e-06
"Území při ulici Sportovní, Košinova","Sportovní, Košinova",Královo Pole,Jiné - nespecifikované,Ne,Ne,Ano,Ano,,,Ne,0.0030638409761204,5.86084747360379e-07
"Území Jižního centra mezi ulicemi Uhelná, Opuštěná, Trnitá","ul. Uhelná, Opuštěná, Trnitá",Trnitá,Jiné - nespecifikované,Ne,Ne,Ne,Ano,,,Ne,0.0154821337145943,1.04939113864635e-05
Plocha při Brněnské továrně plstí,Zábrdovická,Zábrdovice,Průmyslová výroba,Ne,Ne,Ano,Ano,,,Ne,0.0073939264004955095,1.6412923215635599e-06
Areál 2 při ulici Sportovní,"Rybníček, Sportovní, Střední",Ponava,Jiné - nespecifikované,Ne,Ne,Ano,Ano,,,Ne,0.0046732957509178705,1.26873971097267e-06
Území mezi ulicemi Křídlovická a Nádvorní,"Křídlovická, Nádvorní",Staré Brno,Lehký průmysl,Ano,Ne,Ne,Ano,,,Ne,0.00365809402394365,4.91283734620164e-07
Území mezi ulicemi Křídlovická a Leitnerova,"Křídlovická, Leitnerova",Staré Brno,Lehký průmysl,Ano,Ne,Ne,Ano,,Ne,Ne,0.0040701405818715,4.74971990611728e-07
