_id,%,počet
1,1.0,1554.0
2,0.0623482210958,96.8891355828
3,0.165157240295,256.654351419
4,0.147738881316,229.586221564
5,0.310304012008,482.212434661
6,0.103479277363,160.806797023
7,0.275034452136,427.40353862
8,0.479680213252,745.423051394
9,0.520319786748,808.576948606
10,0.0719520320525,111.813457809
11,0.171219187427,266.074617262
12,0.201865423101,313.698867498
13,0.153897401488,239.156561912
14,0.143904063991,223.626915443
15,0.257161891941,399.629580076
16,0.0655012463071,101.788936761
17,0.262946455291,408.618791521
18,0.283810792843,441.041972079
19,0.387741505559,602.550299639
20,0.125828760244,195.537893418
21,0.129639853828,201.460332849
22,0.177735376399,276.200774924
23,0.127845018256,198.671158369
24,0.291260092651,452.61818398
25,0.0623482210958,96.8891355828
26,0.05182392117,80.5343734982
27,0.0335187563574,52.0881473794
28,0.162667825124,252.785800243
29,0.448560191613,697.062537767
30,0.304055271596,472.50189206
31,0.0373615573559,58.0598601311
32,0.0473551543107,73.5899097988
33,0.166695215969,259.044365616
34,0.395192559206,614.129237006
35,0.209155547608,325.027720983
36,0.166082949269,258.092903164
37,0.0628737279482,97.7057732316
38,0.155708124629,241.970425673
39,0.147077298647,228.558122098
40,0.134654338687,209.252842319
41,0.457787821151,711.402274068
42,0.129266224184,200.879712382
43,0.12758373575,198.265125355
44,0.0694000633366,107.847698425
45,0.215962155579,335.60518977
46,0.213698967163,332.088194971
47,0.462525753853,718.765021487
48,0.178557431263,277.478248182
49,0.0619169338091,96.2189151394
50,0.0202106045501,31.4072794708
51,0.00809821468928,12.5846256271
52,0.0549920946739,85.4577151232
53,0.89139881983,1385.23376602
54,0.10860118017,168.766233984
55,0.152147330679,236.436951875
56,0.139421580889,216.661136702
57,0.410470868843,637.871730181
58,0.279158203452,433.811848164
59,0.0188020161377,29.218333078
60,0.583096985284,906.132715131
61,0.0482668530121,75.0066895809
62,0.159023621298,247.122707497
63,0.150720355204,234.219431987
64,0.309743976502,481.342139484
65,0.0454359866367,70.6075232335
66,0.0134561985653,20.9109325704
67,0.0319786799456,49.6948686355
68,0.0799466999988,124.237171798
69,0.259160557485,402.735506332
70,0.0446369081926,69.3657553312
71,0.413724187414,642.927387242
72,0.170552966964,265.039310662
73,0.037308461026,57.9773484344
74,0.0233177881412,36.2358427715
75,0.0333111259161,51.7654896736
76,0.0732844770153,113.884077282
77,0.0699533644237,108.707528314
78,0.123251165889,191.532311792
79,0.160559626915,249.509660226
80,0.0346435709527,53.8361092605
81,0.0799467021985,124.237175217
82,0.072618254497,112.848767488
83,0.0646235842772,100.425049967
84,0.0866089273818,134.590273151
85,0.070619586942,109.742838108
86,0.0699533644237,108.707528314
87,0.152708620792,237.309196712
88,0.377120250497,586.044869272
89,0.21560504028,335.050232594
90,0.17340821361,269.47636395
91,0.0687695581434,106.867893355
92,0.0123883166775,19.2514441169
93,0.12839942262,199.532702751
94,0.226479809387,351.949623788
95,0.223507896467,347.331271109
96,0.166903407254,259.367894873
97,0.254709464272,395.818507478
98,0.0906607437084,139.085533224
99,0.280184682087,429.840240827
100,0.384975361964,590.602958973
101,0.143045906592,219.451279352
102,0.101133305649,155.151823904
103,0.0914249181614,142.074322823
104,0.157809659785,245.236211306
