,MČ,Ulice,LAT,LNG,Typ
4348,BRNO-STARÝ LÍSKOVEC,Bosonožská 4 - MŠ,49.167075391865,16.553558331875,PAP
4349,BRNO-STARÝ LÍSKOVEC,Bosonožská 9 ,49.166446572373,16.554543039006,PLA
4350,BRNO-STARÝ LÍSKOVEC,Bosonožská 9 ,49.166446572373,16.554543039006,SBA
4351,BRNO-STARÝ LÍSKOVEC,Bosonožská 9 ,49.166446572373,16.554543039006,SBI
4352,BRNO-STARÝ LÍSKOVEC,Bosonožská 9 ,49.166446572373,16.554543039006,PAP
4353,BRNO-STARÝ LÍSKOVEC,Dunajská 11,49.169247937993,16.562372940603,PLA
4354,BRNO-STARÝ LÍSKOVEC,Dunajská 11,49.169247937993,16.562372940603,PAP
4355,STARÝ LÍSKOVEC,Dunajská 17,49.168321056481,16.560822962103,SBA
4356,STARÝ LÍSKOVEC,Dunajská 17,49.168321056481,16.560822962103,SBI
4357,STARÝ LÍSKOVEC,Dunajská 29,49.169103011235,16.558596417603,SBA
4358,STARÝ LÍSKOVEC,Dunajská 29,49.169103011235,16.558596417603,SBI
4359,BRNO-STARÝ LÍSKOVEC,Dunajská 35,49.169602334828,16.557322013534,SBA
4360,BRNO-STARÝ LÍSKOVEC,Dunajská 35,49.169602334828,16.557322013534,SBI
4361,BRNO-STARÝ LÍSKOVEC,Dunajská 35,49.169602334828,16.557322013534,PLA
4362,BRNO-STARÝ LÍSKOVEC,Dunajská 35,49.169602334828,16.557322013534,PAP
4363,BRNO-STARÝ LÍSKOVEC,Irkutská 2,49.167404129149,16.550746034159,SBA
4364,BRNO-STARÝ LÍSKOVEC,Irkutská 2,49.167404129149,16.550746034159,SBI
4365,BRNO-STARÝ LÍSKOVEC,Irkutská 2,49.167404129149,16.550746034159,PLA
4366,BRNO-STARÝ LÍSKOVEC,Irkutská 2,49.167404129149,16.550746034159,PAP
4367,STARÝ LÍSKOVEC,Jemelkova 33,49.167757239717,16.556722855622002,SBA
4368,STARÝ LÍSKOVEC,Jemelkova 33,49.167757239717,16.556722855622002,SBI
4369,STARÝ LÍSKOVEC,Karpatská  3,49.167325086704,16.563347008660003,SBA
4370,STARÝ LÍSKOVEC,Karpatská  3,49.167325086704,16.563347008660003,SBI
4371,STARÝ LÍSKOVEC,Karpatská  3,49.167325086704,16.563347008660003,PLA
4372,STARÝ LÍSKOVEC,Karpatská  3,49.167325086704,16.563347008660003,PAP
4373,BRNO-STARÝ LÍSKOVEC,Klobásova 5,49.164357102646,16.564585623341998,SBA
4374,BRNO-STARÝ LÍSKOVEC,Klobásova 5,49.164357102646,16.564585623341998,SBI
