,MČ,Ulice,LAT,LNG,Typ
4108,BRNO-ŘEČKOVICE A MOKRÁ HORA,Renčova x Kremličkova,49.248240334726,16.574561877063,PAP
4109,BRNO-ŘEČKOVICE A MOKRÁ HORA,Renčova x Kremličkova,49.248240334726,16.574561877063,PLA
4110,BRNO-ŘEČKOVICE A MOKRÁ HORA,Renčova x Kremličkova,49.248240334726,16.574561877063,PAP
4111,"ŘEČKOVICE,MOKRÁ HORA",Sibiřská 43,49.243916119068,16.579918817165,SBA
4112,"ŘEČKOVICE,MOKRÁ HORA",Sibiřská 43,49.243916119068,16.579918817165,SBI
4113,"ŘEČKOVICE,MOKRÁ HORA",Sibiřská 91,49.242054264189,16.581242672386,PLA
4114,"ŘEČKOVICE,MOKRÁ HORA",Sibiřská 91,49.242054264189,16.581242672386,PAP
4115,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PLA
4116,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PAP
4117,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,SBA
4118,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,SBI
4119,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PAP
4120,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PAP
4121,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PLA
4122,"ŘEČKOVICE,MOKRÁ HORA",Terezy Novákové 115,49.252460671943,16.575645805966,PLA
4123,BRNO-ŘEČKOVICE A MOKRÁ HORA,Tumaňanova 24,49.260447536951,16.593708903783,SBA
4124,BRNO-ŘEČKOVICE A MOKRÁ HORA,Tumaňanova 24,49.260447536951,16.593708903783,SBI
4125,"ŘEČKOVICE,MOKRÁ HORA",Uprkova 15,49.250847132451,16.579650366459,PAP
4126,"ŘEČKOVICE,MOKRÁ HORA",Uprkova 15,49.250847132451,16.579650366459,PLA
