,"čajovny, kavarny, cukrarny",adresa,kategorie,lat,lon
66,Kavárna Quido,"Rybníček 325/6, Brno",cukrarna,49.2107555,16.6045102
67,Kavárna Ventana Café,"Božetěchova 22/1, Brno",cukrarna,49.2260817,16.5957678
68,Kavárna Růžová slepička,"Jánská 449/12, Brno",cukrarna,49.1943677,16.6104591
69,Curkářství Martinák,"Veveří 14, Brno",cukrarna,49.1995832,16.6023833
70,Cukrárna Tutti Frutti,"Jiráskova 1A, Brno",cukrarna,49.1998261,16.5966001
71,Café Mitte,"Panská 362/11 , Brno",cukrarna,49.1933827,16.6079019
72,Kavárna Falk,"Gorkého 2/12, Brno",cukrarna,49.2000717,16.5992259
73,Music Bar Alterna,"Kounicova 506/48, Brno",cukrarna,49.2103931,16.5947444
74,Kavárna Podobrazy,"Zelný trh 14, Brno",cukrarna,49.192705,16.6082557
75,Literární čajovna Skleněná louka,"Kounicova 276/23, Brno",cukrarna,49.200528,16.6031031
76,Hudební kavárna Stará Pekárna,"Štefánikova 75/8, Brno",cukrarna,49.2084106,16.604249
77,Cukrárna Bali Boráková,"Minská 226/52, Brno",cukrarna,49.2117097,16.5827268
78,Cukrárna U Mlsné kočky,"Hraničky 1, Brno",cukrarna,49.1684336,16.577025
79,Zemanova kavárna a cukrárna,"Josefská 493/4, Brno",cukrarna,49.1931908,16.6116672
80,Café Magnifique,"Ve Vaňkovce 462/1, Brno",cukrarna,49.1888279,16.6139449
81,Restaurace Kinokavárna,"náměstí SNP 1771/33, Brno",cukrarna,49.2179064,16.6206443
82,Cukrárna Luna,"Žebětínská 70, Brno",cukrarna,49.19727,16.5326378
83,Cukrárna a kavárna Aida,"Kozí 9, Brno",cukrarna,49.1964788,16.6092068
84,Literární kavárna Academia Brno,"náměstí Svobody 79/13, Brno",cukrarna,49.1941302,16.6091508
85,Kavárna Aurum-caffe,"Palackého třída 3048/124, Brno",cukrarna,49.227122,16.5935962
86,Kavárna Cafe Soma,"Jana Uhra 169/11, Brno",cukrarna,49.2023113,16.5965679
87,Cukrárna a kavárna Klokánek,"Merhautova 960/84, Brno",cukrarna,49.2077225,16.624156
88,D-Café,"Lidická 1864/18, Brno",cukrarna,49.2016245,16.607768
89,Cafe Bar DanaD,"Kubíčkova 1115/8, Brno",cukrarna,49.2210029,16.5179462
90,Kavárna Café Steiner,"Gorkého 9/38, Brno",cukrarna,49.1994843,16.5951786
91,Kavárna Beng!,"Bratislavská 246/67 , Brno",cukrarna,49.200585,16.6233767
92,Kavárna Café Laundry,"Lidická 1878/46 , Brno",cukrarna,49.203952,16.6070467
93,Terraza café & bar,"náměstí Svobody 86/17, Brno",cukrarna,49.194265,16.60817137101558
94,Café Alfa,"Starobrněnská 33/16, Brno",cukrarna,49.1924948,16.6067044
95,Kavárna Akademie caffe,"Purkyňova 3030/35a , Brno",cukrarna,49.2210865,16.585186
96,Industra Coffee,"Masná 9, Brno",cukrarna,49.1827265,16.6270545
97,Kavárna Gills Coffe,"Veveří 456/9, Brno",cukrarna,49.1992885,16.6024292
98,Knižní kavárna Dobrovský,"Joštova 137/6, Brno",cukrarna,49.1977671,16.6055985
99,Kavárna Limbo,"Jaselská 17, Brno",cukrarna,49.1989646,16.6000859
100,Cukrárna Raw with love,"Anenská 7, Brno",cukrarna,49.1908794,16.60322
101,Spirit bar Brno,"Františkánská 7, Brno",cukrarna,49.1924759,16.6112375
102,Kavárna Naše věci,"Jiráskova 16, Brno",cukrarna,49.200923,16.596584
103,Kavárna Adrinela Cafe,"Životského 195/14, Brno",cukrarna,49.1911707,16.6341866
104,Café Mendel,"Mendlovo nám. 1A, Brno",cukrarna,49.1922858,16.594268
105,Kavárna Penerini coffee,"Palackého třída 60, Brno",cukrarna,49.2219696,16.5961399
106,Kavárna Anděl,"Gorkého 34, Brno",cukrarna,49.1995139,16.5955701
107,Kavárna Kávová Hvězda,"Jezuitská 3, Brno",cukrarna,49.1968881,16.6096869
108,Kavárna Café Kaštanová,"Kaštanová 515/125a, Brno",cukrarna,49.1583087,16.6368839
109,Kavárna Caffé Trieste Brno,"Příkop 188/29, Brno",cukrarna,49.1987211,16.6151507
110,Kavárna Coffee Shop Lavazza Tripoli,"náměstí Svobody 16, Brno",cukrarna,49.1940864,16.608248
111,Kavárna Café Art,"Cihlářská 19, Brno",cukrarna,49.2043022,16.6034621
112,Kavárna Ronny,"Veveří 51, Brno",cukrarna,49.2027446,16.5974253
113,Kavárna Forza Caffé,"Bendlova 29, Brno",cukrarna,49.2172963,16.6218548
114,Kavárna Café Plus,"Jakubské nám. 580/4, Brno",cukrarna,49.1968554,16.6081359
115,Kavárna Winci,"Malinovského náměstí 5, Brno",cukrarna,49.1956337,16.6131119
116,Kavárna Piknik box,"Björnsonův sad, Brno",cukrarna,49.207036599999995,16.593754877855787
117,Skull Caffé,"náměstí Svobody 21, Brno",cukrarna,49.194984,16.6074347
118,Café Špilberk,"Špilberk 210/1, Brno",cukrarna,49.1942121,16.5990225
119,SemTam s láskou,"Tábor 36, Brno",cukrarna,49.2129425,16.5916545
120,Kavárna Cafe Infinity (Brno),"Skandinávská 128/2, Brno",cukrarna,49.1577569,16.6267762
121,Kavárna Kult Cafe,"Husitská 6, Brno",cukrarna,49.2240581,16.5936458
122,Kafe & Bar Labyrint,"Smetanova 633/51, Brno",cukrarna,49.2036936,16.6058611
123,Costa Coffee - Brno,"Josefská 427/14, Brno",cukrarna,49.192117,16.612009
124,Music Café Semilasso,"Palackého třída 126, Brno",cukrarna,49.2272477,16.5931427
125,Coffee bar Meet me,"Veveří 17, Brno",cukrarna,49.1999046,16.6012919
126,Monogram Espresso Bar,"Kapucínské náměstí 12, Brno",cukrarna,49.1917173,16.6099254
127,Caffe Nico-L,"Orlí 1, Brno",cukrarna,49.1932271,16.6100327
128,Cukrárna Tři ocásci,"Gorkého 39, Brno",cukrarna,49.1989831,16.593014
129,Kavárna Koffein,"Panská 13, Brno",cukrarna,49.1933508,16.6078146
130,Café Le Petit,"Orlí 20, Brno",cukrarna,49.1939006,16.6122013
131,Café Localité,"Jánská 12, Brno",cukrarna,49.1943386,16.6104065
132,Panos Česká,"Česká 32, Brno",cukrarna,49.1922443,16.6113382
133,The Roses Beer&Coffee,"Purkyňova 2415/116, Brno",cukrarna,49.2248772,16.5831196
134,Magnet Café,"Jiráskova 41, Brno",cukrarna,49.2028235,16.5955041
135,Cukrové nebe,"Úvoz 120/120, Brno",cukrarna,49.1981528,16.5937607
136,Spital Cafe Mitte,"Netroufalky, Brno",cukrarna,49.1775488,16.5672454
137,Rotatoria caff? Medlánky,"V Újezdech 1, Brno",cukrarna,49.2415406,16.5730076
138,Kafe Friedrich,"Smetanova 45, Brno",cukrarna,49.2032195,16.6049271
