"čajovny, kavarny, cukrarny",adresa,kategorie
Café Alfa,"Starobrněnská 33/16, Brno",cukrarna
Kavárna Akademie caffe,"Purkyňova 3030/35a , Brno",cukrarna
Industra Coffee,"Masná 9, Brno",cukrarna
Kavárna Gills Coffe,"Veveří 456/9, Brno",cukrarna
Knižní kavárna Dobrovský,"Joštova 137/6, Brno",cukrarna
Kavárna Limbo,"Jaselská 17, Brno",cukrarna
Cukrárna Raw with love,"Anenská 7, Brno",cukrarna
Spirit bar Brno,"Františkánská 7, Brno",cukrarna
Kavárna Naše věci,"Jiráskova 16, Brno",cukrarna
Kavárna Adrinela Cafe,"Životského 195/14, Brno",cukrarna
Café Mendel,"Mendlovo nám. 1A, Brno",cukrarna
Kavárna Penerini coffee,"Palackého třída 60, Brno",cukrarna
Kavárna Anděl,"Gorkého 34, Brno",cukrarna
Kavárna Kávová Hvězda,"Jezuitská 3, Brno",cukrarna
Kavárna Café Kaštanová,"Kaštanová 515/125a, Brno",cukrarna
Kavárna Caffé Trieste Brno,"Příkop 188/29, Brno",cukrarna
Kavárna Coffee Shop Lavazza Tripoli,"náměstí Svobody 16, Brno",cukrarna
Kavárna Café Art,"Cihlářská 19, Brno",cukrarna
Kavárna Ronny,"Veveří 51, Brno",cukrarna
Kavárna Forza Caffé,"Bendlova 29, Brno",cukrarna
Kavárna Café Plus,"Jakubské nám. 580/4, Brno",cukrarna
Kavárna Winci,"Malinovského náměstí 5, Brno",cukrarna
Kavárna Piknik box,"Björnsonův sad, Brno",cukrarna
Skull Caffé,"náměstí Svobody 21, Brno",cukrarna
Café Špilberk,"Špilberk 210/1, Brno",cukrarna
SemTam s láskou,"Tábor 36, Brno",cukrarna
Kavárna Cafe Infinity (Brno),"Skandinávská 128/2, Brno",cukrarna
Kavárna Kult Cafe,"Husitská 6, Brno",cukrarna
Kafe & Bar Labyrint,"Smetanova 633/51, Brno",cukrarna
Costa Coffee - Brno,"Josefská 427/14, Brno",cukrarna
Music Café Semilasso,"Palackého třída 126, Brno",cukrarna
Coffee bar Meet me,"Veveří 17, Brno",cukrarna
Monogram Espresso Bar,"Kapucínské náměstí 12, Brno",cukrarna
Caffe Nico-L,"Orlí 1, Brno",cukrarna
Cukrárna Tři ocásci,"Gorkého 39, Brno",cukrarna
Kavárna Koffein,"Panská 13, Brno",cukrarna
Café Le Petit,"Orlí 20, Brno",cukrarna
Café Localité,"Jánská 12, Brno",cukrarna
Panos Česká,"Česká 32, Brno",cukrarna
The Roses Beer&Coffee,"Purkyňova 2415/116, Brno",cukrarna
Magnet Café,"Jiráskova 41, Brno",cukrarna
Cukrové nebe,"Úvoz 120/120, Brno",cukrarna
Spital Cafe Mitte,"Netroufalky, Brno",cukrarna
Rotatoria caff? Medlánky,"V Újezdech 1, Brno",cukrarna
Kafe Friedrich,"Smetanova 45, Brno",cukrarna
