Název;Adresa
Lucie Kopeèná;Masná 403/110
MY FIT I active & pilates studio Lenky Velínské a Romana Ondráška;Kolištì 1912
Zumba s Míšou - Zumba v Brnì;Václavská 6
PILATES POINT;Jílová 29b
Tréninkové centrum Brno;Sochorova 19/22
BODY EXPRESS;Moravské nám. 14
Centrum Tance Brno;Hybešova 255/17
Workout høištì;Lužánecká 1888/10
Beat Up Calisthenics;Stará 11
Kuželna KK Moravská Slávia Brno;Vojtova 541/12
Dream Team Kickbox Brno;Žižkova 3044
masáže/ jóga;Veveøí 476/39
Atletický tunel;Oblá 469
FitCoach;Dvoøákova 13
SK TART Moravská Slávia Brno;Vojtova 785
Akademie karate Brno;Václavská 237/6
Sportovní hala TJ Sokol Brno I;Kounicova 20
Fitness & Wellness Shop ForActiv.cz Brno;75, Plotní 688
Taurus Club z.s;Cejl 494/25
Movement education;Kounicova 685
Jízdárna Brno Veveøí;Žižkova 980
Kuželna SK Brno-Žabovøesky;Fanderlíkova 3083/17
VSK VUT Skurut Hai Brno florbalový tým;Technická 3013/14
MMAG Brno;Rybnická 60/75
Yoga Shala Brno;18, Hybešova 256
Iyengar Yoga Centrum Brno;Botanická 51
Tj Sokol Brno Areál Stadec;Sokolská 687/3
Kuželna TJ Sokol Brno IV;Štolcova 551/8
Veøejné høištì na pétanque;Špilberk, Brno-mìsto, Brno
Kuželna KK Brno-Židenice;Pechova 1497/6a
Plavecké kurzy Brno;Podìbradova 267
TJ Sokol Starý Lískovec;Máchalova 364/4
Wudang Brno;Rašínova 119/3
Aikikai Aikido Brno;Køenová 89/19
Paintball Hall Brno;Hybešova 956/1
Aikido Yoshinkan Brno;Veveøí 462/15
Fitness Prodejna Brno;Nováèkova 418
Karate klub Brno;M. Horákové 323
Pure Yoga Studio Brno;Malinovského nám. 4
Studio Artík;Rybkova 23
Joga ve vzduchu®;Minoritská 10
Jiri Novák;Erbenova 372
Jakub Mašek: Tenisový trenér Brno;Chironova 8
Škola Tae Kwon-do Club Brno ITF;Cejl 60/61
Bistro anatomy Yoga & Akrobacie & Nový cirkus;Starobrnìnská 33/16
VSK Technika Brno, oddíl krasobruslení p. s. - Krasobruslení Brno;Støední 595/26
Yoga Garden Brno;Veveøí 455/8
Velodrom;Køížkovského 416/22
Sokol Tyrš Brno;Francouzská 87
Blue Star Brno;Purkyòova 2640/93
Fyzioterapie Brno - SM systém, Yoga, Pilates - Fyzio5;Merhautova 1070/224
Sdružení Jóga v denním životì;Bezruèova 66
Mìstské haly Vodova;Vodova 108
Hokejová hala Úvoz;Úvoz 1012
Panther BJJ Brno;Mlýnská 453/65
Petra Donociková;Pekaøská 3
Combatives sebeobrana Brno;Šujanovo nám. 1
RPR PAINTBALL SPORT;Hybešova 956
Hung Gar Kung Fu Škola Brno;Jana Babáka 2733/11
YOGA i-D;Poštovská 68/3
Krav Maga Academy Brno;nám. 28. øíjna 22
MFG - Magic Free Group;Vídeòská 297/99
PumpTrack Brno - Lesná;Dusíkova 795/7
Orlovna Brno-Bohunice;Hranièky
GYM13;Benešova 274
Judo Budo Brno;Gajdošova 1282
Krav Maga Brno KMCS;Cejl 29
Dave Fitness;Jana Babáka 5
