,Název,Adresa,lat,lon
88,Ultimate Gym Brno,Masarova 2428/9,49.2062134,16.675669
89,Eduard Knoll,Masná 403/110,49.1821811,16.6259895
90,Soukromé Fitstudio,Masná 403,49.1821811,16.6259895
91,Sportareál Družstevní,Družstevní 1195,49.7141544,14.8975287
92,Hala Rosnička,Horákova 3080,49.206502,16.5767196
93,Jumping Centrum Brno,Husova 16,49.4088438,14.6771659
94,Orel jednota Brno - Bohunice,Hraničky 301,49.1683864,16.5765821
95,Tělocvična Pod Hradem,Údolní 221,49.4078827,14.6723928
96,PS fitness,Tuřanka 1222/115,49.1684601,16.6789298
97,PP studio Brno - Horní Heršpice,Vodařská 232,49.1763214,16.616458
98,SPINNING-BRNO.cz," 157, Táborská 456",0.0,0.0
99,Nové Fitness,Komárovská 466,49.1805978,16.6187614
100,Osobní fitness trenér Michal Hatony,Vídeňská 281/77,49.5906756,17.248477
101,CONTOURS FITNESS IBC Brno,Příkop 4,49.2001436,16.6139364
102,Fitpeople Modřice,Brněnská 404,48.8080565,16.6379203
103,MONSTER Gym,Tuřanka 1,49.1766574,16.6873833
104,Petr Sedláček fitness trenér,Nádražní 681/2a,49.1892784,16.6064096
105,Muay Thai,Dornych 102,49.1835444,16.6210813
106,Fit-studio Eva,Vodařská 232,49.1763214,16.616458
107,JETSAAM GYM BRNO,Pálavské nám. 4246/5,49.2055745,16.6602478
108,mamaGYM Brno,Špitálka 35,49.1923221,16.6208779
109,Yoga Brno - Fitness studio s.r.o.,Dobrovského 96/29,49.2178817,16.5884464
110,TJ TESLA BRNO,Halasovo nám. 826,49.2233723,16.6248062
111,4Comfort,Fryčajova 698/29,49.2306694,16.6486834
112,COREGYM - Jan Florian,Francouzská 421,49.2022862,16.6224651
113,Rehabfit Brno Kamechy 1025/55,Kamechy 1025/55,49.2157364,16.4948305
114,Gym Blue Sun,Jihomoravské nám. 3/3,49.1794926,16.6858771
115,Eva Veselá,Jílová 168,49.1775293,16.5939207
116,Wellness Centrum Martiny Zábranské,M. Horákové 9,49.223882,15.8769183
117,Yoga Brno - Fitness studio s.r.o.,Lidická 702/23,49.7707231,13.3766676
118,Roma gym,Soudní 241/11,49.1999226,16.6216681
119,Fitcentrum Kounicova,Kounicova 46,49.2089706,16.5952923
120,Michal Hatony - Fitness trenér,Divadelní,49.7424764,18.6136478
121,Petra Pláničková (Urbánková),Rokytova 1,49.2093172,16.6479114
122,Pavel Řezáč - fitness trenér a masér,Sportovní 559/2A,50.0682984,14.4540981
123,Dětská jóga - Yoga Brno - Fitness studio s.r.o.,Zábrdovická 25/2,49.2022886,16.6291965
124,The Little Gym Brno,Kigginsova 2,49.18117705,16.66819979812376
125,MYSTIK Brno - SPINNING® centrum Židenice,Gajdošova 4392,49.200996,16.6450623
126,CrossFit DESTINY,Palackého tř. 250/29,49.094463,15.8916535
127,Pilates Havlik (areál Mišmaš fitness centrum),Gajdošova 7,49.200996,16.6450623
128,Tančící dům,Špitálka 124,48.9446781,17.1759709
129,Fit Studio Jana,Veveří 486,49.2032004,16.5968983
130,Aqua aerobic Brno,Arménská 573/21,49.1678109,16.5806125
131,Fitness By Michaela,Gajdošova 4392,49.200996,16.6450623
132,Active Fitness,Družstevní 21,50.0623934,14.445889
133,Posilovna Říčany,V Dědině 650,49.2137374,16.390264
