,název,Unnamed: 1,lat,lon
46,"Střední škola grafická Brno, příspěvková organizace","Šmahova 364/110, Slatina, 627 00 Brno",49.1714084,16.6838713
47,"Střední škola uměleckomanažerská, s. r. o.","Táborská 1297/185, Židenice, 615 00 Brno",49.1925431,16.6361758
48,"Mateřská škola speciální, základní škola speciální a praktická škola Elpis Brno, příspěvková organizace","Koperníkova 803/2, Židenice, 615 00 Brno",49.202308,16.638722
49,"Mateřská škola speciální, základní škola speciální a praktická škola Ibsenka Brno, příspěvková organizace","Ibsenova 114/1, Lesná, 638 00 Brno",49.2306128,16.6193478
50,"Taneční konzervatoř Brno, příspěvková organizace","Nejedlého 375/3, Lesná, 638 00 Brno",49.2276036,16.6272922
51,"Střední škola umění a designu a Vyšší odborná škola Brno, příspěvková organizace","Husova 537/10, Brno-město, 602 00 Brno",49.1935434,16.605026
52,"Střední škola, základní škola a mateřská škola pro zdravotně znevýhodněné, Brno, Kamenomlýnská 2","Kamenomlýnská 124/2, Pisárky, 603 00 Brno",49.1955294,16.5711583
53,"Střední zdravotnická škola a Vyšší odborná škola zdravotnická Brno, Merhautova, příspěvková organizace","Merhautova 590/15, Černá Pole, 613 00 Brno",49.2044719,16.6231833
54,Střední zdravotnická škola Evangelické akademie,"Šimáčkova 235/1, Líšeň, 628 00 Brno",49.2073356,16.6946457
55,"TRIVIS – Střední škola veřejnoprávní Brno, s. r. o.","Dukelská třída 467/65, Husovice, 614 00 Brno",49.2109131,16.6339114
56,"TRIVIS – Střední škola veterinární Emila Holuba Brno, s. r. o.","Dukelská třída 467/65, Husovice, 614 00 Brno",49.2109131,16.6339114
57,"Základní škola a praktická škola Brno, Vídeňská, příspěvková organizace","Vídeňská 244/26, Štýřice, 639 00 Brno",49.1828156,16.5946356
