nazev;adresa;psč,,,,
Mateřská škola Adélka;U Velké ceny 8;623 00,,,,
Mateřská škola;Údolní 155/68;602 00,,,,
Mateřská škola POD ŠPILBERKEM;Údolní 9a;602 00,,,,
Mateřská škola;ulice Kosmonautů 2;625 00,,,,
Mateřská škola Brno;Úvoz 57;602 00,,,,
Mateřská škola Brno, Uzbecká 30, příspěvková organizace;Uzbecká 569/30;625 00,,
Mateřská škola;V Aleji 2/101;620 00,,,,
Mateřská škola,Brno,Vackova70;Vackova 70;612 00,,
Mateřská škola;Velkopavlovická 15;628 00,,,,
Mateřská škola;Veslařská 256;637 00,,,,
Mateřská škola;Vídeňská 39a;639 00,,,,
Mateřská škola Milosrdných bratří s.r.o.;Vídeňská 7;639 00,,,,
Mateřská škola;Vinařská 4;603 00,,,,
Mateřská škola;Všetičkova 19;602 00,,,,
Mateřská škola;Záhumenice 1;619 00,,,,
Mateřská škola;Zelná 70;619 00,,,,
Mateřská škola Sedmikráska;Zengrova 3;615 00,,,,
Mateřská škola;Žižkova 57;616 00,,,,
