,nazev,adresa,"psč,,,,",lat,lon
63,"Mateřská škola Pomněnky, Brno, Oblá 51,příspěvková organizace",Oblá 51,"634 00,",49.1754547,16.557210595107755
64,Mateřská škola,Oderská 2,"625 00,,,,",49.7750126,17.7511375
65,Mateřská škola Studánka,Ondrova 25,"635 00,,,,",49.2367876,16.5273631
66,Mateřská škola Zdislava,Pellicova 4,"602 00,,,,",49.1928774,16.6028305
67,"Mateřská škola Beruška, Brno, Plovdivská 6, příspěvková organizace",Plovdivská 6,"616 00,",50.0061884,14.4193956
68,Mateřská škola,Proškovo nám. 6,"614 00,,,,",49.2207587,16.6445034
69,"Mateřská škola Prušánecká 8,Brno,příspěvková organizace",Prušánecká 8,"628 00,,",49.2083416,16.6610044
70,"Mateřská škola Brno, Pšeník 18, příspěvková organizace",Pšeník 18,"639 00,,",44.370629,17.2847069
71,"Mateřská škola,Brno,Puchýřova 13a příspěvková organizace",Puchýřova 13a,"628 00,,",49.2091825,16.6896714
72,Mateřská škola,Purkyňova 21,"612 00,,,,",49.2192287,16.585797
73,"Mateřská škola Vážka, Brno, Rybnická 45, příspěvková organizace",Rybnická 45,"634 00,",48.9734252,22.1893502
74,Mateřská škola,Řezáčova 3,"624 00,,,,",49.2239865,16.55776
75,Mateřská škola,Skořepka 5/368,"602 00,,,,",50.0836137,14.4200443
76,Mateřská škola,Slavíčkova 1,"638 00,,,,",50.0990793,14.4106662
77,Mateřská škola,Slunná 25,"617 00,,,,",49.1749029,16.626121
78,Mateřská škola,Soukenická 8,"602 00,,,,",49.1883765,16.6049954
79,Mateřská škola SLUNÍČKO,Strnadova 13,"628 00,,,,",49.2051487,16.6693703
80,Mateřská škola,Synkova 24,"628 00,,,,",49.207908,16.6767374
81,Mateřská škola,Šaumannova 20,"615 00,,,,",49.2018018,16.6466254
82,"Mateřská škola Brno, Škrétova 2, příspěvková organizace",Škrétova 2,"621 00,,",50.0774235,14.4317744
83,"Mateřská škola Brno, Šrámkova 14, příspěvková organizace",Šrámkova 14,"638 00,,",49.2264893,16.6256319
84,"Mateřská škola Brno, Šromova 55, příspěvková organizace",Šromova 55,"643 00,,",49.1290562,16.6530969
85,Mateřská škola,Štolcova 21,"618 00,,,,",49.1886921,16.6362511
86,Mateřská škola,Štolcova 51,"618 00,,,,",49.1872788,16.637568
87,Mateřská škola SLUNÍČKO,Štouračova 23/1249,"635 00,,,,",49.2154078,16.5171331
88,"Mateřská škola Brno, Švermova 11, příspěvková organizace",Švermova 11,"625 00,,",49.167332849999994,16.57077799610997
89,Mateřská škola,Tišnovská 169,"614 00,,,,",49.2142193,16.62823
90,Mateřská škola,Trnkova 81,"628 00,,,,",49.2015856,16.6870795
91,Mateřská škola,Tučkova 36,"602 00,,,,",49.20829354999999,16.597727943534117
92,"Mateřská škola Paraplíčko Brno, Tumaňanova 59,příspěvková organizace",Tumaňanova 59,"621 00,,",49.2617053,16.5943756
93,Mateřská škola,U Lípy Svobody 3,"620 00,,,,",49.1521273,16.6567016
94,Mateřská škola Adélka,U Velké ceny 8,"623 00,,,,",49.1977708,16.5324477
95,Mateřská škola,Údolní 155/68,"602 00,,,,",49.0831769,17.488352
96,Mateřská škola POD ŠPILBERKEM,Údolní 9a,"602 00,,,,",49.1962633,16.6012606
97,Mateřská škola,ulice Kosmonautů 2,"625 00,,,,",49.1674044,16.5598406
98,Mateřská škola Brno,Úvoz 57,"602 00,,,,",49.2040541,16.5915864
99,"Mateřská škola Brno, Uzbecká 30, příspěvková organizace",Uzbecká 569/30,"625 00,,",49.1717322,16.5817498
100,Mateřská škola,V Aleji 2/101,"620 00,,,,",49.1478144,16.6486175
101,"Mateřská škola,Brno,Vackova70",Vackova 70,"612 00,,",49.3027943,15.0767389
102,Mateřská škola,Velkopavlovická 15,"628 00,,,,",49.2038801,16.6622985
103,Mateřská škola,Veslařská 256,"637 00,,,,",49.1938894,16.5637196
104,Mateřská škola,Vídeňská 39a,"639 00,,,,",50.0203894,14.4639779
105,Mateřská škola Milosrdných bratří s.r.o.,Vídeňská 7,"639 00,,,,",49.5906788,17.2488146
106,Mateřská škola,Vinařská 4,"603 00,,,,",48.8587603,16.8063963
107,Mateřská škola,Všetičkova 19,"602 00,,,,",49.1977807,16.5888039
108,Mateřská škola,Záhumenice 1,"619 00,,,,",49.1641551,16.613341
109,Mateřská škola,Zelná 70,"619 00,,,,",49.145823,16.6204429
110,Mateřská škola Sedmikráska,Zengrova 3,"615 00,,,,",49.1970202,16.6383243
111,Mateřská škola,Žižkova 57,"616 00,,,,",50.3043026,12.5569834
